start,end,text
16.02,20.35,"Disparan, la línea hay que cruzar"
20.35,25.30,"La línea que separa su mundo, que es mejor"
25.42,30.20,"Cruzar, dar la vida, buscar trabajo, un sitio, un lugar"
30.20,35.00,"Apostar todo a una ficha, él, yo, tú, ¿y quién más?"
35.12,37.35,Los que van a cruzar la línea
37.53,40.15,"Cruzar las balas, la cerca, su dignidad"
40.47,44.99,Quieren encontrar un lugar
45.56,50.15,"Disparan, la línea hay que cruzar"
50.47,54.99,"Separan, la tierra hay que alcanzar"
55.42,59.88,"Protegen su mundo, que es mejor"
60.31,64.07,Nos alejan por la fuerza
64.80,69.37,"Cruzar, dar la vida, buscar trabajo, un sitio, un lugar"
69.49,74.38,"Apostar todo a una ficha, él, yo, tú, ¿y quién más?"
74.48,76.68,Los que van a cruzar la línea
76.98,79.54,"Cruzar las balas, la cerca, su dignidad"
79.88,84.52,Quieren encontrar un lugar
124.07,125.00,No puedo parar
125.26,126.29,No quiero parar
126.49,127.45,Decido salir
127.70,128.78,Decido marchar
128.98,129.93,No puedo esperar
130.16,131.11,No quiero esperar
131.42,132.32,Quiero algo mejor
132.58,133.52,Me tiro a la mar
133.86,134.90,No puedo parar
135.13,136.11,No quiero parar
136.35,138.58,Yo quiero empezar en otro lugar
138.77,139.84,Decido partir
140.01,141.10,Decido probar
141.25,143.48,Decido salir y no tragar
143.71,144.77,No puedo parar
144.96,145.98,No quiero parar
146.17,148.44,Yo quiero empezar en otro lugar
148.64,149.68,Decido partir
149.88,150.81,Decido probar
151.12,153.28,Decido salir y no tragar
153.51,154.57,No puedo parar
154.77,155.85,No puedo parar
156.04,156.98,No puedo parar
157.25,158.24,No puedo parar
