start,end,text
21.78,24.45,Ich würd' so gerne meinen Namen verlieren
24.89,26.38,(Das wär' schon okay)
26.54,29.22,Vollkommen unerkannt durch Straßen maschieren
29.70,31.41,"(No, you don't know me)"
31.41,34.05,Es würde niemand danach fragen was geht
34.49,36.12,(Alter scheiß auf mein Smartphone)
36.34,38.93,Und ich hätte endlich Zeit zu verstehn
39.28,40.58,(Ich muss einfach mal klar kommen)
40.58,42.60,Ich schließ' mich ein
42.88,44.69,Und komm' nicht raus
44.69,47.42,"Ich bin ein Freak, ein Freak"
47.72,49.55,Rede ständig von meinem wunderschönen Glied
49.55,52.25,"Ich bin ein Freak, ein Freak"
52.48,54.31,"Glaube nicht, dass es für mich hier etwas gibt"
54.31,57.04,"Ich bin ein Freak, ein Freak"
57.28,59.12,Rede ständig nur von meiner scheiß Musik
59.12,61.78,"Ich bin ein Freak, ein Freak"
62.09,63.90,"Glaube nicht, dass mich von euch jemand besiegt"
63.90,65.27,Ich bin ein Freak!
65.10,67.63,Ich würd' so gern den ganzen Tag musizieren
68.05,69.77,(So mit Hoes und Cocain)
69.77,72.55,"Wer das nicht will, kann bei mir oral probieren"
72.88,74.56,(Könnte sofort losgehn)
74.57,77.27,"Hört sich das an, als würd' ich Spanisch verstehn?"
77.70,79.13,(Una loco pendejo)
79.36,81.96,Ich zeig dir einfach meinen Penis und geh
82.21,83.98,(Ich bin interessiert an dem Echo)
102.89,104.93,Ich schließ' mich ein
105.29,107.13,Und komm' nicht raus
107.13,109.86,"Ich bin ein Freak, ein Freak"
110.09,111.92,Rede ständig von meinem wunderschönen Glied
111.92,114.57,"Ich bin ein Freak, ein Freak"
114.89,116.66,"Glaube nicht, dass es für mich hier etwas gibt"
116.75,119.37,"Ich bin ein Freak, ein Freak"
119.67,121.44,Rede ständig nur von meiner scheiß Musik
121.54,124.29,"Ich bin ein Freak, ein Freak"
124.47,126.18,"Glaube nicht, dass mich von euch jemand besiegt"
126.33,127.68,Ich bin ein Freak!
127.50,129.41,"Während du sprichst, bin ich in Gedanken nackt"
129.75,131.36,Ich trage nur meine Gitarre
132.17,134.20,"Ich hör nicht hin, ob irgendjemand etwas sagt"
134.57,136.22,Ich glaub' wir reden über Mathe
136.99,138.98,"Während du sprichst, bin ich in Gedanken nackt"
139.38,141.13,Ich trage nur meine Gitarre
141.83,143.79,"Ich hör nicht hin, ob irgendjemand etwas sagt"
144.17,145.48,"Ich glaub', ich sitze in der Kacke"
145.48,148.25,"Ich bin ein Freak, ein Freak"
148.52,150.34,Rede ständig von meinem wunderschönen Glied
150.34,153.06,"Ich bin ein Freak, ein Freak"
153.29,155.12,"Glaube nicht, dass es für mich hier etwas gibt"
155.12,157.86,"Ich bin ein Freak, ein Freak"
158.10,159.92,Rede ständig nur von meiner scheiß Musik
159.92,162.69,"Ich bin ein Freak, ein Freak"
162.87,164.59,"Glaube nicht, dass mich von euch jemand besiegt"
164.72,166.59,Ich bin ein Freak!
169.46,171.38,Ich bin ein Freak!
174.33,176.17,Ich bin ein Freak!
179.14,180.93,Ich bin ein Freak!
182.09,183.93,"Glaube nicht, dass mich von euch jemand besiegt"
183.93,185.37,Ich bin ein Freak!
