start,end,text
10.62,13.18,"Qué bueno que swipeaste a la derecha, mamá"
13.47,16.03,Porque a esta noche le daremos movimiento
16.11,18.53,Que uno o dos tequilas solo pa' calentar
18.80,21.31,Mira que aquí estamos pa' disfrutar el momento
21.45,23.92,"Show me what you got, oh baby, dance for me y me das"
24.13,26.63,"Toda tu pasión y tu sudor, mas vete lento"
26.80,29.38,"Que no tengo prisa, que esta noche da pa' más"
29.46,31.56,Muévete cerquita aquí nomás
32.13,37.38,"Baila, baila, hasta que me enamores, baby, tú"
37.46,42.79,"Baila, baila, probaré tus sabores, baby, tú"
42.79,48.13,"Baila, baila, enséñame tus colores, baby, tú"
48.13,52.83,"Baila, baila, al beat de mi corazón"
74.96,77.42,"Toma mi mano, dame tu espalda"
77.66,80.22,Y lentamente sentiré cómo me bailas
80.35,82.80,"Muévete rico, que no hay palabras"
82.99,85.47,Pa' describir cómo en mi cielo tú te empalmas
85.64,87.98,"Mueve tus pies, que bien sabés"
88.29,90.72,Que yo contigo desde el bungee y sin arnés
90.93,93.19,"Y al oído, yo te diré"
93.60,97.40,"Que el dirty talk se nos vendrá hasta en inglés, oh yes (oh yes)"
97.46,102.80,"Baila, baila, hasta que me enamores, baby, tú"
102.80,108.13,"Baila, baila, probaré tus sabores, baby, tú"
108.13,113.46,"Baila, baila, enséñame tus colores, baby, tú"
113.46,118.11,"Baila, baila, al beat de mi corazón"
140.08,142.52,Y a la luna llena le daremos calor
142.71,145.30,Y esta noche entera pintará de colores
145.46,147.95,"Baby, tú me bailas y me llegan los temblores"
148.11,150.75,Porque con tus labios tú me das to's los sabores
150.75,153.17,Sabes que este mundo no es lo mismo sin tu amor
153.47,155.90,"Dámelo todo, que yo lo acomodo"
156.11,158.43,"Dámelo al max, que el mío lo tendrás"
158.61,162.61,"Llenémonos de besos, que hoy somos traviesos en exceso"
164.79,170.13,"Baila, baila, hasta que me enamores, baby, tú"
170.13,175.47,"Baila, baila, probaré tus sabores, baby, tú"
175.47,180.79,"Baila, baila, enséñame tus colores, baby, tú"
180.79,185.54,"Baila, baila, al beat de mi corazón"
