start,end,text
29.71,31.37,Esta es la ocasión
31.77,33.47,De verte marchar
33.80,35.13,Por fin viviré
35.32,37.42,Por fin voy a luchar
37.91,39.52,Mi vida sin ti
39.98,43.27,Mi vida y nadie más
46.12,47.61,Es el momento
48.16,49.91,De verme triunfar
50.23,51.65,De dejarte atrás
51.65,54.02,Decir adiós sin más
54.34,56.02,Lo nuestro está así
56.39,59.09,¿Qué quieres de mí?
62.47,63.94,Salió la verdad
64.56,66.26,No me engañarás
66.65,68.04,Yo quiero vivir
68.16,70.40,Sin mirar atrás
70.72,72.44,Lo nuestro acabó
72.81,75.80,Asúmelo ya
79.45,81.23,Besando sapos
81.47,83.54,Paso la vida así
83.54,85.39,Buscando al guapo
85.59,88.12,Que me haga sonreír
89.16,91.58,No sé quién me contó
91.73,93.99,Que había un final feliz
95.39,97.02,Creía que tú
97.43,98.96,Eras especial
99.47,101.52,Un hombre distinto
101.52,103.21,A los demás
103.53,105.37,Qué tonta que fui
105.63,108.58,No entiendo qué te vi
111.76,113.56,Perdí la esperanza
113.82,115.35,De tanto esperar
115.89,117.52,Alguien que me quiera
117.52,119.65,Alguien de verdad
119.97,121.78,Qué mal verme así
122.04,124.68,Tengo que espabilar
128.20,129.70,Vuelve a suceder
130.21,131.78,La historia de ayer
132.28,133.83,Tengo que aprender
133.83,135.75,No lo puedo creer
136.11,137.90,Que me pase a mí
138.18,142.36,Que me pase otra vez
145.07,146.78,Besando sapos
147.13,149.22,Paso la vida así
149.22,151.01,Buscando al guapo
151.25,153.86,Que me haga sonreír
154.77,157.15,No sé quién me contó
157.31,159.55,Que había un final feliz
159.75,163.34,Un final feliz
167.68,169.48,Besando sapos
184.02,185.86,Besando sapos
188.11,189.74,Besando sapos
190.11,192.29,Paso la vida así
192.29,194.01,Buscando al guapo
194.32,196.88,Que me haga sonreír
197.88,200.24,No sé quién me contó
200.50,202.98,Que había un final feliz
220.96,222.76,Besando sapos
223.04,225.05,Paso la vida así
225.05,226.84,Buscando al guapo
227.16,229.85,Que me haga sonreír
230.70,233.01,No sé quién me contó
233.25,235.29,Que había un final feliz
235.61,238.78,Un final feliz
