start,end,text
20.25,25.54,"Du bist es nicht, die so sehr für eine Sache brennt"
25.64,30.98,Dass man sie hinterher vor lauter Ruß nicht wiedererkennt
31.78,36.05,"Du stehst nicht unter Strom, zumindest nicht permanent"
36.23,41.46,Auch für die kleinen Dinge bleiben dir immer noch ein paar Prozent
41.61,46.91,"Du bist es nicht, die gern etwas auf sich beruhen lässt"
46.91,52.21,Oder die schon bevor das Licht angeht den Kinosaal verlässt
52.63,57.62,"Was sich festzuhalten lohnt, lässt du nicht einfach ziehen"
57.62,63.14,"Du hörst den Sternen dann nur zu, wenn sie es sich wirklich verdienen"
64.22,68.31,"So wie du bist, bist du genau, wie ich dich will"
69.57,74.28,"Was du auch anstellst, tust du mit Grazie und Stil"
74.28,79.70,Dein guter Geschmack ist unbestreitbar und er spricht für sich
80.27,83.34,Bitte beweg dich nicht
85.59,88.57,Bitte beweg dich nicht
92.21,97.98,"Du hast ein wachsames Auge, ein verständnisvolles Ohr"
98.47,103.00,Die Fehler der Vergangenheit hältst du mir nur selten vor
103.00,108.26,"Du bist mein Groupie, Fan und Kritiker in Personalunion"
108.26,113.91,"Wer kann das schon von sich behaupten? Ich kann behaupt'n, ich kann das schon"
114.42,118.96,So manche Schnapsidee hast du mir um die Ohr'n gehaun
118.96,124.65,"Wenn ich vor diesen Viechern nicht so viel Respekt hätte, würde ich mit dir auch Pferde klauen"
125.58,129.92,"So wie du bist, bist du genau, wie ich dich will"
130.90,135.61,"Was du auch anstellst, tust du mit Grazie und Stil"
135.61,141.28,Dein guter Geschmack ist unbestreitbar und er spricht für sich
141.60,144.57,Bitte beweg dich nicht
146.89,149.77,Bitte beweg dich nicht
191.18,196.14,"Stolperst du über deine Träume, helfe ich dir wieder auf"
196.38,201.81,Ein blaues Auge und verschrammte Knie nehm' ich dafür gern in Kauf
202.50,207.10,"Ich halt dich an der Leine, wenn dein Kopf über den Wolken schwebt"
207.24,212.57,"Und ich lass mich mit dir treiben, während unter uns die Erde bebt"
213.55,218.00,"So wie du bist, bist du genau, wie ich dich will"
218.94,223.63,"Was du auch anstellst, tust du mit Grazie und Stil"
223.63,229.23,Dein guter Geschmack ist unbestreitbar und er spricht für sich
229.61,232.74,Bitte beweg dich nicht
234.89,240.23,"So wie du bist, bist du genau, wie ich dich will"
240.23,245.53,"So wie du bist, bist du genau, wie ich dich will"
245.53,250.80,"So wie du bist, bist du genau, wie ich dich will"
250.92,254.21,Bitte beweg dich nicht
256.24,259.50,Bitte beweg dich nicht
