start,end,text
7.16,10.08,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
10.50,13.40,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
13.82,16.74,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
17.15,20.08,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
20.46,23.27,"Quand vient l'hiver, je l'attends"
23.82,26.71,Comme les cloches sonnent en automne
27.14,29.99,"Sur cet air, je m'émerveille"
30.48,33.36,Quand viennent les souhaits que je fredonne
33.82,36.80,Une mélodie de Noël
37.16,40.14,Pour des nostalgies d'enfance
40.46,43.40,Juste un regard vers le ciel
43.82,46.83,Toi et moi quand j'y repense
47.14,49.89,J'attendrai si il le faut
50.50,53.21,Un couplet et quelques vœux
53.81,56.66,Ce soir quand il fera chaud
57.15,60.39,Quelques heures au coin du feu
63.79,66.71,"Christmas, Christmas"
66.93,69.77,All I want is only you
70.47,73.35,"Christmas, Christmas"
73.59,76.47,Notre amour en rendez-vous
77.14,80.09,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
80.48,83.43,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
83.81,86.73,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
87.15,90.06,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
90.48,93.32,"Quand vient l'hiver, je l'attends"
93.78,96.73,Comme les cloches sonnent en automne
97.13,100.29,"Sur cet air, je m'émerveille"
100.46,103.50,Quand viennent les souhaits que je fredonne
103.82,106.75,Une mélodie de Noël
107.15,110.17,Pour des nostalgies d'enfance
110.48,113.36,Juste un regard vers le ciel
113.82,116.84,Toi et moi quand j'y repense
117.16,120.22,J'attendrai si il le faut
120.48,123.20,Un couplet et quelques vœux
123.82,126.90,Ce soir quand il fera chaud
127.14,130.02,Quelques heures au coin du feu
130.47,133.44,"Un seul souhait, oui, j'aimerais"
133.81,136.72,Merry Christmas everyday
137.14,140.22,Te revoir même qu'une fois
140.47,143.44,"Christmas, Christmas avec toi"
143.81,146.94,J'attendrai jusqu'au matin
147.14,150.26,"Un happy end, un refrain"
150.48,153.25,"Christmas, Christmas"
153.60,156.30,All I want is only you
157.13,159.99,"Christmas, Christmas"
160.27,163.01,Notre amour en rendez-vous
163.81,166.63,"Christmas, Christmas"
166.93,169.70,All I want is only you
170.47,173.31,"Christmas, Christmas"
173.59,176.32,"Un regard, quelques mots doux"
177.13,180.07,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
180.48,183.38,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
183.80,186.74,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
187.14,190.07,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
190.47,193.40,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
193.80,196.75,"<nl> Ouh-ah-ah, ouh-ah-ah, ouh-ah-ah </nl>"
197.13,199.99,"Christmas, Christmas"
200.26,202.99,All I want is only you
203.81,206.71,"Christmas, Christmas"
206.93,209.67,Notre amour en rendez-vous
210.47,213.33,"Christmas, Christmas"
213.60,216.33,All I want is only you
217.15,220.04,"Christmas, Christmas"
220.26,223.15,All I want is only you
223.83,226.68,"Christmas, Christmas"
226.93,229.62,"Un regard, quelques mots doux"
