start,end,text
60.49,62.69,Deja que te cuente
63.73,65.91,Deja que te diga
67.29,70.59,Que tengo miedo de volver
73.51,75.96,Aunque yo te quiera
76.75,79.32,Aunque seas mi vida
80.18,84.42,Solo me acuerdo del ayer
86.86,89.78,Cuando tus miradas eran distintas
89.88,92.86,Cuando tus palabras me hacían sufrir
93.12,96.25,Cuando por tenerte hubiese dado mi vida
96.30,99.37,Cuando te alejabas poco a poco de mí
99.37,102.70,Y ahora estás solo y gritas al cielo
102.88,105.83,Que tú sin mis besos no sabes vivir
106.09,109.13,Mas quiero que sepas que todo este tiempo
109.35,116.47,Ha sido un infierno y que vivo tan solo pensando en ti
131.86,134.11,Si al final volvemos
135.00,137.47,No será lo mismo
138.61,142.12,"Hemos cambiado, yo lo sé"
144.63,147.31,Razones que no cesan
148.10,150.74,Besos compartidos
151.50,155.53,Miedos que vuelven a nacer
158.20,161.32,Cuando tus miradas eran distintas
161.32,164.19,Cuando tus palabras me hacían sufrir
164.51,167.68,Cuando por tenerte hubiese dado mi vida
167.76,170.94,Cuando te alejabas poco a poco de mí
170.94,174.07,Y ahora estás solo y gritas al cielo
174.23,177.22,Que tú sin mis besos no sabes vivir
177.48,180.59,Mas quiero que sepas que todo este tiempo
180.76,187.55,Ha sido un infierno y que vivo tan solo pensando en ti
188.19,190.62,"No, no, no, no, no"
191.85,194.11,Pensando en ti
194.68,197.12,"No, no, no, no, no"
198.34,200.55,Pensando en ti
201.16,204.01,"No, no, no, no, no"
204.84,207.12,Pensando en ti
207.65,210.67,"No, no, no, no, no"
212.93,215.33,Pensando en ti
