start,end,text
47.58,50.61,Wo gibts den besten Milchkaffee
53.82,56.64,Himbeer- oder Rooibuschtee?
59.51,63.33,Wo gibt es Frühstück bis nach zwei?
64.95,67.13,Im Café Jenseitz
71.53,74.70,Wo wird man immer nett begrüßt
77.53,80.54,Wo tuckt der Chef in der Kombüs'
83.58,87.46,Wo sieht man dir gern auf dein Teil
88.95,90.91,Im Café Jenseitz
95.57,98.42,Wo dreht man gleich den Kopf zurück
101.49,105.20,Nur weil ein Gast die Klinke drückt
107.53,110.63,Wo sitzt man gerne auch zu zweit
113.00,115.10,Im Café Jenseitz
119.51,122.59,Wo gibt es Bowle mal umsonst
125.44,129.36,Wenn du zur Grand Prix Party kommst
131.43,135.18,Wo kassierst du 60 Euro dann
136.82,138.96,Im Café Jenseitz
140.57,143.97,Das Café für den Mann
