start,end,text
3.22,3.99,Here we go
16.00,17.80,<nl> Ah-ah-ah </nl>
20.18,22.51,<nl> Eh-ah </nl>
23.81,27.06,<nl> Eh-ah </nl>
27.55,28.98,<nl> Yeah (yeah) </nl>
29.17,31.19,Si t'es là c'est pour l'meilleur et pour le pire
31.50,33.49,J'te retiendrais pas si tu veux partir un jour
33.82,35.56,"Un coup c'est la guerre, un coup c'est la fête"
35.65,37.06,J'sais plus trop où donner d'la tête
37.36,39.38,"J'en ai fait des bêtises, je sors sans prévenir"
39.38,40.70,Tu finis par être à bout
41.20,42.95,"Un coup c'est la guerre, un coup c'est la fête"
44.99,50.66,"Ih, eh, entre nous beaucoup trop d'questions"
48.24,52.02,"(Entre nous beaucoup trop d'questions, questions)"
51.52,57.28,"Eh, eh, j'te l'dirais jamais mais t'avais raison"
55.71,57.96,(L'dirais jamais mais t'avais raison)
59.38,62.11,"Non, j'voulais pas te mentir mais"
62.11,64.91,J'ai dû choisir entre facilité et courage ('rage)
66.76,69.51,À trop vouloir m'en sortir j'ai
69.51,72.28,Seulement retardé la tempête avant l'orage ('rage)
73.46,74.60,Et j'te connais très bien
74.88,76.87,"Je sais quand t'es blessée, je sais quand t'es déçue"
77.17,79.19,Je sais que tu kiffes quand j'te regarde
79.19,80.68,Droit dans les yeux quand j'suis au-dessus
80.95,82.53,"J'voulais pas, mais tu sais comment j'suis"
82.88,84.28,"Voleur d'amour, j'tavais prévenu"
84.55,86.40,J'ai volé ton cœur et celui d'ta pote
86.40,87.97,"Mais celui-là, c'était pas voulu"
88.24,89.93,Et j'sais plus quoi faire maintenant
90.28,91.92,Que t'es partie j'pense à avant
92.15,93.62,J'attends seulement que tu reviennes
93.85,95.43,Car t'es accro à moi comme cocaïne
95.70,97.67,Et j'sais plus quoi faire maintenant
97.67,99.54,Que t'es partie j'pense à avant
99.54,100.95,J'attends seulement que tu reviennes
101.23,102.98,Car t'es accro à moi comme cocaïne
103.09,105.04,Si t'es là c'est pour le meilleur et pour le pire
105.34,107.35,J'te retiendrais pas si tu veux partir un jour
107.70,109.43,"Un coup c'est la guerre, un coup c'est la fête"
109.49,110.90,J'sais plus trop où donner d'la tête
111.21,113.23,"J'en ai fait des bêtises, je sors sans prévenir"
113.23,115.16,Tu finis par être à bout (à bout)
115.03,116.83,"Un coup c'est la guerre, un coup c'est la fête"
116.91,118.38,J'sais plus trop où donner d'la tête
118.89,124.98,"Ih, eh, entre nous beaucoup trop d'questions (questions, questi')"
123.97,125.86,(Entre nous beaucoup trop d'questi')
125.69,131.39,"Eh, eh, eh, j'te l'dirais jamais mais t'avais raison (jamais, jamais)"
131.14,134.54,(J'te l'dirais jamais mais t'avais raison)
134.60,136.99,"(Jamais, jamais, jamais)"
