start,end,text
19.68,23.56,"<nl> Yeah, oh </nl>"
25.70,28.88,Please don't stand over here
28.88,31.92,"Act like you care, so self-aware"
32.17,35.15,I know you were not scared
35.26,39.17,"I could've died, but that isn't fair, huh?"
39.88,42.31,But what am I supposed to think?
42.80,44.98,You weren't there for me
46.29,50.00,'Cause I'm not who I should be for you
50.74,53.89,You've got a record and a past
54.15,56.78,Guess that's what makes me the ass
57.22,60.19,"I should've known, I should've cared"
60.49,62.91,How could I have been so unprepared?
62.98,69.82,"Now where does the good boy go to hide away, hide the pain?"
70.26,74.76,'Cause you won't see me cry when I'm done
76.82,82.64,"What is it that you want from me, want from me?"
83.31,88.96,"What is it that you want from me, want from me?"
88.96,93.88,"I want you to feel, I want you to feel"
95.30,100.26,"I want you to feel, I want you to feel"
105.41,107.39,I'm a feather in the wind
108.79,112.05,I'm carried away by all that you say
112.05,115.76,Sitting on thin air
118.13,121.14,I'm a loss to my friends
121.69,124.76,Too unpersuaded by all they're saying
124.76,130.56,"And you can't pretend to care, yeah"
130.56,133.79,"Yeah, I was reckless in the past"
134.17,136.69,I was see-through just like glass
137.15,140.16,Did all I could to make this last
140.31,142.87,So how could you be such an ass?
143.05,149.52,"I know where the good boys go to hide the pain, hide the pain"
149.52,156.04,But that don't mean I die when you don't
156.93,162.68,"What is it that you want from me, want from me?"
163.28,168.70,"What is it that you want from me, want from me?"
169.07,173.84,"I want you to feel, I want you to feel"
175.24,180.40,"I want you to feel, I want you to feel"
182.54,188.25,"What is it that you want from me, want from me?"
188.82,194.48,"What is it that you want from me, want from me?"
194.48,199.90,"I want you to feel, I want you to feel"
200.88,207.40,"I want you to feel, I want you to feel"
208.23,213.56,"Good boys go to hide the pain, hide the pain"
213.56,218.21,'Cause you won't see me cry when I'm done
219.79,226.37,"I know where the good boys go to hide the pain, hide the pain"
226.37,231.48,But that don't mean I die when you don't
