start,end,text
0.01,1.54,"Um, dois, três, quatro"
67.42,70.62,Imagine-toi qu'un beau jour
70.77,73.89,Tu devras payer pour respirer
74.26,77.47,Cours vite pour te faire assurer
77.60,80.70,Si tu veux pas trop en baver
81.13,84.37,En plus de te faire marcher dessus
84.47,87.34,Le but est de te taxer
88.02,91.11,Si tu veux jouer un rôle
91.41,94.58,"Attends encore, oh"
94.89,97.89,Culture and Co. dans ton bol
98.31,101.51,"Pas de remords, oh"
108.44,111.74,Bientôt toute l'inspiration
111.90,115.20,Se fera devant la télévision
115.39,118.74,Où seront les bonnes émissions
118.84,121.95,Comme un suppo à t'foutre dans le fion
122.22,125.45,En plus de te faire marcher dessus
125.63,128.63,Le but est de te saigner
129.12,132.35,Si tu veux jouer un rôle
132.58,135.66,"Attends encore, oh"
136.03,139.19,Culture and Co. dans ton bol
139.41,142.73,"Pas de remords, oh"
143.03,153.37,"<nl> (Eh-eh-eh, eh-eh-eh-eh, eh-eh-eh) </nl>"
155.90,165.94,"<nl> (Eh-eh-eh, eh-eh-eh-eh, eh-eh-eh) </nl>"
177.12,180.33,Si tu veux jouer un rôle
180.56,183.67,"Attends encore, oh"
183.97,187.05,Culture and Co. dans ton bol
187.43,190.62,"Pas de remords, oh"
