start,end,text
2.44,5.36,Plus de love
5.54,8.09,Plus de love
8.73,12.39,"Plus de love, hey"
12.45,16.22,Je rêve qu'un jour chacun soit maître de son destin (I have a dream)
15.72,18.94,Que chaque personne puisse un jour se prendre en main (yeah)
18.86,21.98,Sans avoir à douter de prendre le mauvais chemin ( <nl> ouh </nl> )
22.05,24.87,Où chaque obstacle ne serait surmonté en vain
25.22,28.96,"Que les parents pardonnent leurs enfants de n'plus croire en rien (yute, man)"
28.41,31.58,Que les enfants suivent cette mélodie qui vient de loin ( <nl> ouh </nl> )
31.62,34.79,Au lieu d'écouter des chimères qui ne valent rien (ouais)
34.74,37.46,"« Tu es mon adversaire », me diront certains"
37.57,40.95,"Oh oui, tu sais, man (tu sais, man)"
39.59,43.75,La joie quand on prend conscience d'exister (oh yeah)
43.97,45.70,"Oh oui, tu sais, man"
45.92,51.63,"Les regrets sont si durs à oublier (oh, no, no, no, no, no)"
50.30,52.82,"Oh oui, tu sais, man (hey)"
52.29,57.22,"Que les enfants veulent grandir et te ressembler ( <nl> ouh, </nl> tous les yutes, <nl> eh </nl> )"
56.67,59.54,"Oh oui, tu sais, man (oh yeah)"
58.63,62.79,"Un jour ou l'autre, l'amour va triompher (love, love, love now)"
63.17,66.01,(Jah!) J'en vois beaucoup qui rigolent quand je clame ton nom
66.53,69.47,"Ils te prennent pour une marque, une herbe, une religion"
69.77,73.10,Beaucoup parlent sur toi sans même faire attention (beaucoup)
72.90,76.42,"Les signes, ils préfèrent les voir à la télévision (yeah)"
76.14,79.80,"Beaucoup pensent parler avec esprit, mais leur cœur est fermé (parce que)"
79.26,82.18,Jamais ils n'osent se taire pour mieux écouter
82.45,85.75,Ils osent narguer l'enfer en bravant tous les dangers (hey)
85.67,88.66,Dure sera la chute quand il faudra s'réveiller
88.44,91.74,"Oh oui, tu sais, man (tu sais, man)"
90.43,94.63,La joie quand on prend conscience d'exister (oh yeah)
94.82,96.62,"Oh oui, tu sais, man"
96.79,102.14,"Les regrets sont si durs à oublier (oh, no, no, no, no, no)"
101.16,103.68,"Oh oui, tu sais, man (hey)"
103.15,108.16,"Que les enfants veulent grandir et te ressembler ( <nl> ouh, </nl> tous les yutes, <nl> eh </nl> )"
107.58,110.42,"Oh oui, tu sais, man (oh yeah)"
109.49,114.38,"Un jour ou l'autre, l'amour va triompher (hey, l'amour pour tous les frères et sœurs)"
114.38,117.53,Je rêve qu'un jour chacun soit maître de son destin <nl> (ouh) </nl>
117.46,120.76,Que chaque personne puisse un jour se prendre en main (tout le monde)
120.61,123.82,Sans avoir à douter de prendre le mauvais chemin (hey)
123.82,127.02,"Que chaque obstacle ne serait surmonté en vain (ah, music !)"
127.02,130.07,<nl> Wo-yo </nl> (pour tous les frères et sœurs motivés)
130.12,133.34,"<nl> Wo-yo-yo-yo-yo </nl> (oh, viens, bouge à la musique reggae)"
133.34,137.00,"<nl> Wo-yo </nl> (oh oui, man, si t'es motivé, motivé)"
136.51,139.68,"<nl> Wo-yo-yo-yo-yo </nl> (oh, viens, parle ici d'unité)"
139.68,143.47,<nl> Wo-yo-yo </nl> (pour tous les sœurs et frères de tous les quartiers)
142.89,146.08,"<nl> Wo-yo-yo-yo-yo </nl> (ouah, viens ici dans l'ambiance policière)"
146.08,149.03,<nl> Wo-yo-yo </nl> (danse sur la musique reggae)
149.22,151.43,"<nl> Wo-yo-yo-yo-yo </nl> (yo, big up !)"
152.01,155.40,"Oh oui, tu sais, man (tu sais, man)"
154.02,158.08,La joie quand on prend conscience d'exister (oh yeah)
158.38,160.20,"Oh oui, tu sais, man"
160.34,165.78,"Les regrets sont si durs à oublier (oh, no, no, no, no, no)"
164.75,167.23,"Oh oui, tu sais, man (hey)"
166.71,171.65,"Que les enfants veulent grandir et te ressembler (ouh, tous les yutes, eh)"
171.13,173.95,"Oh oui, tu sais, man (oh yeah)"
173.05,177.26,"Un jour ou l'autre, l'amour va triompher (love, love, love now)"
179.62,184.73,On revient chanter pour Jah
185.76,190.80,Pour tous ceux qui gardent la foi
192.14,197.37,"Pour tous ceux qui restent au combat, yeah"
198.50,202.69,Pour tous ceux qui chantent pour la joie
202.86,204.61,(Jah ! Boh !) Conscious !
