start,end,text
7.72,16.65,Hoffnungslos im Dunkel meines Seins raste ich dahin
17.29,23.18,Suchte nach dem Sinn meines Lebens
25.58,32.46,"Voller Angst war ich gefangen, suchte nach dem Ziel"
33.31,38.72,Hasste dieses Spiel meines Lebens
41.08,48.25,"Wahrheit war mir fremd, zu schwer, Anerkennung galt"
48.87,54.13,"Denn mein Herz war kalt, ohne Liebe"
60.06,66.24,"Jesus, da wurdest du geboren"
67.62,73.80,Licht für meine Dunkelheit
75.43,80.75,Hoffnung meiner kalten Seele
81.21,87.20,"Trost in Not und Leid, Jesus"
89.47,95.77,"Du hast alles selbst erlebt, hast den Thron verlassen"
97.12,102.23,"Fühltest Lieben, Hassen dieser Welt"
104.92,111.83,"Du verstehst das tiefste Leid, Blindheit weicht vor dir"
112.58,117.89,"Schenkst dein Licht auch mir, Jesus"
120.34,126.88,"Für dein Kommen ehr' ich dich, Majestät vom All"
128.17,134.00,Legst dich in den Stall meines Lebens
139.33,145.38,"Jesus, du wirst in mir geboren"
147.02,153.07,Licht für meine Dunkelheit
154.80,160.19,Hoffnung meiner kalten Seele
160.56,166.55,"Trost in Not und Leid, Jesus"
168.38,173.92,"Jesus, du wirst in mir geboren"
176.05,181.93,Licht für meine Dunkelheit
183.81,189.22,Hoffnung meiner kalten Seele
189.57,200.76,"Trost in Not und Leid, Jesus, Jesus"
