start,end,text
0.36,3.94,"Wenn ihr so weiter macht, verspielt ihr meine Zukunft"
3.94,5.24,Seid ihr doof?
7.89,9.64,Vor dem Küchenfenster
12.38,13.92,Steht ein alter Baum
16.52,18.36,So alt wie er ist
20.95,22.28,Krieg' ich das Grauen
25.42,27.69,Der Baum der steht da seit Jahren
29.81,32.16,Schon lang' bevor wir da waren
34.22,36.02,Auch wird er nicht vergehn
38.67,40.57,Wenn die Natur es lässt geschehen
45.31,46.81,Der Baum braucht nicht viel
46.92,48.86,Er will nur überleben
48.86,50.50,Nehmt euch ein Beispiel
50.50,53.30,Hört auf nach Reichtum zu streben
53.30,55.26,Der Baum der braucht nicht viel
55.47,57.63,Er will nur überleben
57.63,59.27,Nehmt euch ein Beispiel
59.27,61.96,Hört auf nach Reichtum zu streben
65.37,67.61,"Wenn er könnt', würd' er erzählen"
69.75,71.94,Wer schon alles unter ihm saß
74.19,75.87,Ihm is' egal
78.35,80.14,Er kennt kein' Rassenhass
83.03,85.33,"Die Parteien, die regieren"
87.46,89.62,Sind ihm total egal
91.60,93.63,Er spendet seine Früchte
96.01,98.05,Dadurch ist er sehr sozial
102.66,104.27,Der Baum braucht nicht viel
104.27,106.20,Er will nur überleben
106.20,107.85,Nehmt euch ein Beispiel
107.85,110.62,Hört auf nach Reichtum zu streben
110.62,112.63,Der Baum der braucht nicht viel
112.86,115.01,Er will nur überleben
115.01,116.63,Nehmt euch ein Beispiel
116.63,119.43,Hört auf nach Reichtum zu streben
122.69,124.89,Doch gibt es Idioten
126.87,129.07,Die seine Schönheit nicht seh'n
131.54,133.20,Für ein bisschen Kohle
135.96,137.74,Lassen sie ihn nicht stehn
160.00,161.62,Der Baum braucht nicht viel
161.62,163.53,Er will nur überleben
163.53,165.20,Nehmt euch ein Beispiel
165.20,167.94,Hört auf nach Reichtum zu streben
167.94,169.83,Der Baum braucht nicht viel
170.15,172.34,Er will nur überleben
172.34,173.99,Nehmt euch ein Beispiel
173.99,176.87,Hört auf nach Reichtum zu streben
