start,end,text
36.20,37.26,Es ist weit gefehlt
37.40,38.39,Dass es immer quält
38.50,39.43,Wenn ein Musiker schlicht
39.52,40.68,Von seinem Alltag spricht
40.76,41.91,Sei's Melancholie
42.01,43.08,Oder Hysterie
43.08,43.99,Wenn ich ehrlich bin
44.52,45.20,Hab' ich das nie
45.37,46.53,Dieses magische Greifen
46.53,47.57,Nach der neuen Idee
47.66,48.81,Was nur möglich sei
48.81,49.88,Mit der guten Fee
49.97,51.06,Ist 'ne Ideologie
51.12,52.13,Von Anfang an
52.21,53.26,Und genau besehen
53.37,54.46,Ist da gar nichts dran
54.80,56.44,Komponieren und Dichten
56.80,57.91,Als bräuchte man nur
57.91,59.16,Von den Musen berichten
59.16,60.14,So ist es nicht
60.21,61.20,Denn wenn alles bricht
61.38,62.48,Nimmt man doch Rückzug
62.56,63.59,Zu Lug und Trug
63.66,64.69,Einen Song zu schreiben
64.69,65.77,Ist keine göttliche Gunst
65.96,67.09,Ist im doppelten Sinne
67.27,68.23,Einfach Kunst
68.23,69.38,Ein profanes Geschehen
69.38,70.33,Wie 'ne Schraube drehn
70.52,71.57,Mit Geduld und Mut
71.67,73.66,Wird alles gut
75.41,81.66,"<nl> (Uh, ah-ja, eh-jo) </nl>"
81.79,82.94,"Ich mach' Musik, Musik"
83.10,84.33,Weil es mich schon immer trieb
84.51,90.90,"<nl> (Uh, ah-ja, eh-jo) </nl>"
90.96,92.10,"Ich mach' Musik, Musik"
92.25,93.53,Every day and every week
111.66,112.78,Doch an manchen Tagen
112.78,114.01,Ist es einfach schwer
114.01,114.90,Da wünscht ich mir
114.97,115.95,Solche Musen daher
116.24,117.27,Die mir sagen wie's geht
117.38,118.48,Und mich einfach küssen
118.48,119.66,Und der Song sich schreibt
119.66,120.77,Ohne Grübeln zu müssen
120.77,121.67,Doch die Grübelei
121.86,122.88,Ist auch was Schönes dabei
123.10,124.23,Dass du suchst und suchst
124.23,125.38,Manchmal kräftig fluchst
125.38,126.47,Keinen Ausweg siehst
126.53,127.55,Und in Trübsinn fliehst
127.65,128.84,Doch du kommst wieder raus
128.84,131.43,Mit einem neuen Ohrenschmaus
134.51,135.65,"Ja, was neues zu hör'n"
135.65,136.70,Dass es noch nicht gab
136.76,137.82,Ist der ganze Törn
137.91,138.88,Ist der helle Tag
138.94,140.20,Es ist ein Hochgefühl
140.20,141.29,Dass sich in dir aufstellt
141.36,142.47,Dein warmer Regen
142.47,143.65,Der aus dir rausquellt
143.65,144.77,Ganz allein dafür
144.85,145.86,Lohnt der Aufwand schon
145.96,147.01,Und die neuen Töne
147.01,149.03,Sind der höchste Lohn
148.55,154.88,"<nl> (Uh, ah-ja, eh-jo) </nl>"
154.95,156.07,"Ich mach' Musik, Musik"
156.22,157.46,Weil es mich schon immer trieb
157.67,164.01,"<nl> (Uh, ah-ja, eh-jo) </nl>"
164.10,165.22,"Ich mach' Musik, Musik"
165.37,166.56,Every day and every week
203.10,204.24,Zu den schönsten Sachen
204.24,205.37,Am Musik machen
205.37,206.51,Gehört der Jam
206.51,207.71,Den andere entfachen
207.71,208.77,Du gemeinsam suchst
208.77,209.94,Und gemeinsam findest
209.94,210.97,Ohne dass du dich
211.08,212.14,Nur an Formen bindest
212.34,213.34,Ins Blaue hinein
213.34,215.16,Zu viert zu drei'n oder zwei'n
215.16,216.14,Ist ein Geschehen
216.14,217.24,Mit göttlichen Weihen
217.51,219.08,"Communio, im engsten Sinne"
219.08,220.11,Eine Einigkeit
220.11,221.46,In der ich mich gewinne
223.97,230.24,"<nl> (Uh, ah-ja, eh-jo) </nl>"
230.37,231.51,"Ich mach' Musik, Musik"
231.65,232.96,Weil es mich schon immer trieb
233.10,239.40,"<nl> (Uh, ah-ja, eh-jo) </nl>"
239.53,240.68,"Ich mach' Musik, Musik"
240.80,242.19,Every day and every week
