start,end,text
20.43,23.22,Weißt du noch damals
23.27,26.40,Als wir durch die Straßen gingen
26.93,29.40,Weißt du noch damals
29.40,32.63,Als die Revolution in den Köpfen war
33.41,35.86,Und damals dachten sie
36.05,39.50,Sie wären unbesiegbar
39.92,42.59,Und damals fühlten sie sich
42.59,46.13,Zusammen einfach unschlagbar
66.37,68.58,Heute sind sie
68.78,71.72,In Seattle und Cancún
72.36,74.99,Streiten für Freiheit
75.27,78.68,Und für Revoluzzer-Ruhm
79.11,81.53,Sie rufen gemeinsam
80.70,84.91,(Rufen gemeinsam)
81.57,84.80,Zur letzten großen Schlacht
85.38,88.13,Den Hüttenfrieden
87.33,91.63,(Frieden)
88.25,91.63,Rohe Gewalt kostet Macht
91.90,94.24,Und ich steh' auf der Straße
93.71,95.83,(Ich steh auf der Straße)
95.30,98.05,"Und weiß nicht, was soll ich hier"
96.97,99.68,"(Und weiß nicht, was soll ich hier)"
98.59,100.39,Ich bin nicht dagegen
100.26,101.98,(Ich bin nicht dagegen)
101.84,103.99,Ich bin nicht dafür
103.27,105.39,(Und ich bin nicht dafür)
105.03,107.50,Ich fühl' meine Ohnmacht
106.67,108.83,(Ich fühl' meine Ohnmacht)
108.34,110.56,Und geh' jetzt nach Hause
109.97,111.65,(Und geh' jetzt nach Hause)
111.53,114.20,Wo seid ihr denn alle?
113.10,115.43,(Wo seid ihr denn alle?)
114.78,117.58,Die Bühne gehört jetzt dir
144.04,146.50,Die Revolution gehört dir
145.64,148.65,(Die Revolution)
147.32,149.77,Die Revolution gehört dir
148.94,151.91,(Die Revolution)
150.54,153.14,Die Revolution gehört dir
152.18,155.07,(Die Revolution)
153.76,156.42,Die Revolution gehört dir
155.39,160.50,(Die Revolution)
