start,end,text
11.21,15.88,Ella es un misterio para la humanidad
16.62,21.05,No hay leyenda alguna que revele su verdad
21.91,26.57,"Viaja entre las sombras, es la eterna oscuridad"
27.38,31.27,Deja que te cuente un poco más
32.70,37.23,Cabellos de plata y mirada de cristal
38.02,42.42,Una piel radiante y oscura como el mar
43.23,47.86,Las criaturas duermen con su arrullo angelical
48.66,52.89,Deja que te cuente un poco más
53.69,60.74,Y dicen que ella vive aquí desde hace años
61.65,63.72,Y que pocos la verán
64.28,73.06,"Y dicen que nadie pudo olvidar su canto, <nl> oh, uoh </nl>"
75.36,79.91,Ella es un misterio para la humanidad
80.70,85.11,Pero nadie duda de su inmortalidad
86.03,90.20,"Nadie le hace sombra, es la eterna oscuridad"
91.37,95.30,Deja que te cuente un poco más
96.69,101.36,Fue incomprendida a causa de su gran poder
102.03,106.58,Algo en su mirada puede hacerte estremecer
107.33,111.38,Carga con heridas que no dejan de doler
112.70,116.69,Deja que te cuente un poco más
117.61,124.84,Y dicen que ella vive aquí desde hace años
125.64,127.66,Y que pocos la verán
128.28,137.38,"Y dicen que nadie pudo olvidar su canto, <nl> oh, uoh </nl>"
138.95,149.50,"<nl> Uh-oh-oh, uh-oh-oh-oh, uh-oh-oh, uh-oh-oh-oh </nl>"
149.71,159.95,"<nl> Uh-oh-oh, uh-oh-oh, oh-oh, oh </nl>"
160.04,167.68,Y dicen que ella vive aquí desde hace años
168.35,170.48,Y que pocos la verán
170.97,181.25,"Y dicen que nadie pudo olvidar su canto, <nl> oh, uoh-uoh </nl>"
181.57,192.25,"<nl> Uh-oh-oh, uh-oh-oh-oh, uh-oh-oh, uh-oh-oh-oh </nl>"
192.32,202.63,"<nl> Uh-oh-oh, uh-oh-oh, oh-oh, oh </nl>"
