start,end,text
16.48,19.33,"Komm her, komm her, komm her zu mir"
20.00,23.26,"Du hast drei Wünsche frei, komm und sag, was wünschst du dir?"
23.84,26.79,"Komm her, komm her, komm her, mein Kind"
27.36,30.76,"Ich hab' für dich drei Nüsse, die für deine Wünsche sind"
31.07,34.13,"Drei Nüsse, das ist cool, Mann, wie im Film vom Aschenbrödel"
34.46,37.04,Endlich Schluss mit all den Sorgen von gestern
37.33,40.61,"Heute und morgen geht nur noch die Party ab, her mit den Nüssen"
40.77,42.68,Ich geh ins KDW zum Shoppen
42.76,46.41,"Korken knallen, Hüllen fallen, und die Popkörner poppen"
46.70,49.85,Nie wieder das Gerödel und nie wieder Füße küssen
50.14,53.71,Meine Eier muss ich nicht mehr bei der Nachbarin ausborgen
53.71,57.23,"Ich nehm Geld, Auto, Yacht, 'n paar von den krassesten Schnitten"
57.41,61.15,"Du weißt, die echten Luxusteile mit den monstergroßen Augen"
61.28,64.66,Und die andern sollen sich meine Tracks aus dem Netz runtersaugen
64.96,68.23,"Ich sag an, was geht und muss nicht mehr um Anerkennung bitten"
68.23,71.10,"Komm her, komm her, komm her zu mir"
71.66,75.06,"Du hast drei Wünsche frei, komm und sag, was wünschst du dir?"
75.60,78.53,"Komm her, komm her, komm her mein Kind"
79.07,82.27,"Ich hab' für dich drei Nüsse, die für deine Wünsche sind"
82.27,83.94,"Okay, das war 'n bisschen viel"
84.10,86.95,"Ich nehm' nur Cash, die anderen Sachen kann ich kaufen"
86.95,90.09,Obwohl dann würd' ich nicht in der Rotation laufen
90.37,94.07,"Wunsch Nummer zwei ist also ein fetter Hit, aber nein"
94.26,97.77,Da fällt mir ein gedopter Erfolg kann nicht befriedigend sein
98.00,100.75,"Okay, also was ist mit den Weibern?"
101.00,103.73,"Ich als Hahn im Korb, voll mit gepiercten Leibern"
103.73,107.66,Ist das wirklich geil? Mechanischer Sex und von keiner geliebt?
108.05,111.68,"Und keine, die auf mich von Herzen auch nur zehn Cent gibt"
111.88,115.33,"Das ist doch Scheisse, Mann, ich bin nicht wie die leitenden Reichen"
115.53,117.11,Auf ihren riesigen Booten
117.38,121.01,"Die sich Liebe kaufen, die seelisch Toten"
121.50,124.96,Wer steht schon auf den Sex und Style der reitenden Leichen?
127.28,130.12,"Komm her, komm her, komm her zu mir"
130.76,134.03,"Du hast drei Wünsche frei, komm und sag, was wünschst du dir?"
134.69,137.63,"Komm her, komm her, komm her, mein Kind"
138.14,141.42,"Ich hab' für dich drei Nüsse, die für deine Wünsche sind"
156.03,159.38,"Und überhaupt, es wär' doch traurig auf der Yacht rumzulungern"
160.08,162.39,Während anderswo die Menschen verhungern
162.62,166.08,Die jeden Tag die Hummerstückchen aus der Schale zu nagen
166.27,169.53,Wenn nebenan die Raketen in Wohnzimmern einschlagen
170.20,174.15,"Also bleibt nur das Auto, aber könnte ein Leben sinnloser sein?"
174.55,178.36,"Da kommt 'ne Fee, du hast drei Wünsche frei und dir fällt nur Auto ein?"
178.75,181.76,"Für die wichtigen Dinge, Liebe, Glück und Respekt"
181.88,184.44,"Reicht kein frommer Wunsch, das hab' ich gecheckt"
184.88,189.05,"Du gehst mir voll auf die Nüsse, Fee, keiner hat dich hier vermisst"
189.22,193.96,"Also pack deine scheiß Nüsse ein, verpiss dich, you are dismissed!"
193.76,196.51,"Komm her, komm her, komm her zu mir"
197.20,200.43,"Du hast drei Wünsche frei, komm und sag, was wünschst du dir?"
201.10,204.04,"Komm her, komm her, komm her, mein Kind"
204.65,207.95,"Ich hab' für dich drei Nüsse, die für deine Wünsche sind"
208.53,211.44,"Komm her, komm her, komm her zu mir"
211.94,215.33,"Du hast drei Wünsche frei, komm und sag, was wünschst du dir?"
215.91,218.83,"Komm her, komm her, komm her, mein Kind"
219.38,222.73,"Ich hab' für dich drei Nüsse, die für deine Wünsche sind"
