start,end,text
14.73,19.20,J'viens d'me réveiller à midi
19.40,25.53,"Pas pressé, j'ai tout mon temps aujourd'hui"
26.33,30.56,Un temps printanier me sourit
30.81,37.12,J'vais glander et cette idée me ravit
38.90,45.16,Peu importe qu'il n'y ait rien dans le frigo
45.51,49.72,J'me contenterai bien d'une kro
50.14,54.00,Je fumerai la fin d'un bédo
54.81,61.16,J'me poserai en calbute dans l'jardin
61.52,66.16,"Cet instant compte, demain on verra bien"
66.31,70.29,"Pas d'heure à ma montre, je suis serein"
70.88,74.88,"Une gratte, quelques notes de la zik"
75.45,81.32,"Et des potes, un petit moment sympathique"
82.32,86.31,"On soule les voisins, c'est cyclique"
86.74,93.05,Ces gros chiens nous menacent d'appeler les flics
93.75,100.12,Et j'entends les sirènes qui retentissent
100.48,104.66,C'est certainement la police
108.30,114.79,Mais eux commencent à tambouriner à ma porte
115.30,119.41,En gueulant que la musique est trop forte
119.85,122.82,J'les envoie parler à mon short
126.85,132.02,"<nl> Tam-di-don, zé-dène-den-ouai-en </nl>"
132.55,135.01,"Outrage à agent, menottes aux poings"
135.01,137.35,Et m'embarquant face aux voisins
137.35,138.99,Eux qui sourient d'me voir emmené
139.61,143.76,Poussé à l'arrière d'la voiture
146.21,148.75,Au commissariat et en calbute
148.75,150.97,Assis à côté d'une pute
150.97,153.29,J'attends qu'un gardien de la paix
153.29,157.18,Vienne me chercher pour m'questionner
159.88,162.36,Cette journée avait bien commencé
162.36,164.75,J'vois pas ce qui a pu merder
164.75,167.03,"Le son trop fort, c'est ridicule"
167.03,168.97,Maintenant je suis en cellule
169.09,175.52,Mais j'continue encore à faire la fête
175.86,179.94,Avec les putes et leurs proxénètes
180.48,183.47,J'avais gardé un petit pet
183.97,190.36,La cellule on va vraiment l'enfumer
190.73,194.94,"J'm'en fous, il peut plus rien m'arriver"
195.35,197.96,"Moi, j'suis déjà enfermé"
198.85,205.32,Mais j'continue encore à faire la fête
205.59,209.84,"J'fais tourner l'joint, j'fais des soufflettes"
210.22,213.29,Et ça nous monte à la tête
213.67,220.04,La cellule on l'a vraiment enfumée
220.42,224.64,"J'm'en fous, il peut plus rien m'arriver"
225.02,228.74,J'suis toujours en liberté
