start,end,text
19.47,23.94,Ya casi está anocheciendo y me puse a recordar
24.29,28.72,Ya casi está anocheciendo y me puse a recordar
29.06,33.43,Las costumbres de mi abuelo cuando se ponía a pescar
33.88,38.30,Las costumbres de mi abuelo cuando se ponía a pescar
38.70,43.21,Afinaba su guitarra y recogía la atarraya
43.50,48.02,Afinaba su guitarra y recogía la atarraya
48.29,52.38,Llenaba alguna tinaja y a esperar la madrugada
53.09,57.05,Llenaba alguna tinaja y a esperar la madrugada
57.27,60.14,¿Y qué cantaba mi abuelo?
60.30,62.20,De noche con su guitarra
62.27,64.82,¿Qué cantaba mi abuelo?
65.07,66.95,Canciones que hoy ya no cantan
67.05,69.88,¿Qué cantaba mi abuelo?
69.88,71.75,Al irse de madrugada
71.90,74.45,¿Qué cantaba mi abuelo?
74.67,76.67,Canciones que hoy ya no cantan
98.03,99.51,Y esta es mi esencia
99.96,101.64,La esencia de mis abuelos
102.24,104.36,La cumbia
105.16,105.89,"¡Ay, mamá!"
125.06,129.31,Ya casi está amaneciendo y el viejo está preparao
129.86,134.29,Ya casi está amaneciendo y el viejo está preparao
134.65,139.19,Se encomienda al padre santo y se toma el café colao
139.49,143.99,Se encomienda al padre santo y se toma el café colao
144.29,148.80,Alista ya su canoa y le monta la atarraya
149.09,153.60,Alista ya su canoa y le monta la atarraya
153.85,158.26,Le da un besito a la vieja y no olvida su guitarra
158.70,162.94,Le da un besito a la vieja y no olvida su guitarra
162.94,165.77,¿Y qué cantaba mi abuelo?
165.89,167.73,Al irse de madrugada
167.87,170.42,¿Qué cantaba mi abuelo?
170.69,172.68,La cumbia que hoy ya no cantan
172.68,175.83,¿Qué cantaba mi abuelo?
175.50,177.33,Al irse de madrugada
177.49,180.03,¿Qué cantaba mi abuelo?
180.28,182.26,La cumbia que hoy ya no cantan
201.88,206.34,"Hoy conservo la guitarra, su canoa y la atarraya"
206.68,211.07,Le doy un beso a mi negra y me voy de madrugada
211.44,215.89,"Y canto yo las canciones, las que el viejo me enseñaba"
216.29,220.42,"Hoy entono las canciones, las cumbias que él me enseñaba"
220.42,223.30,¿Y qué cantaba mi abuelo?
223.48,225.40,De noche con su guitarra
225.46,228.02,¿Qué cantaba mi abuelo?
228.27,230.17,Canciones que hoy ya no cantan
230.23,233.44,¿Qué cantaba mi abuelo?
233.08,234.95,Al irse de madrugada
235.08,237.64,¿Qué cantaba mi abuelo?
237.86,239.95,La cumbia que hoy ya no cantan
241.47,243.16,¡Cumbia!
243.91,248.61,¡Con Internacional Nando Malo y su Sonora!
249.00,250.23,"¡Sí, sí, sí, sí!"
