start,end,text
17.63,21.42,Soy un fantasma que
21.95,25.32,Se asusta de sí mismo
26.41,30.44,Un hueco dentro de otro hueco
30.76,34.06,Que solo el aire atraviesa
35.12,39.26,La tristeza es muy extraña
39.38,43.52,Se alimenta de la belleza
43.91,47.17,"<nl> Ah, ah, ah </nl>"
48.25,51.47,"<nl> Ah, ah, ah </nl>"
52.54,56.51,Soy el sombrero de un mago
56.94,60.14,Donde no hay un conejo
61.34,65.27,Un beso que no deja huella
65.70,68.87,Ni palpita en el recuerdo
70.09,74.23,La tristeza es muy extraña
74.30,78.75,Se alimenta de la belleza
96.13,102.44,"<nl> Uh-uh-uh-uh-uh-uh, uh-uh-uh-uh-uh-uh, uh-uh </nl>"
104.92,111.49,"<nl> Uh-uh-uh-uh-uh-uh, uh-uh-uh-uh-uh, uh-uh-uh </nl>"
113.66,119.87,"<nl> Uh-uh-uh-uh-uh-uh, uh-uh-uh-uh-uh, uh-uh-uh </nl>"
122.39,128.76,"<nl> Uh-uh-uh-uh-uh-uh, uh-uh-uh-uh-uh, uh-uh-uh </nl>"
131.12,135.30,La tristeza es muy extraña
135.44,139.87,Se alimenta de la belleza
144.14,147.85,"<nl> Uh, uh, uh </nl>"
150.58,154.83,"<nl> Uh, uh, uh </nl>"
