start,end,text
22.67,24.73,Ich will entfliehen
25.55,29.56,"Dem Käfig, der mich hält"
30.33,33.38,Lass dich allein zurück
34.00,37.44,"Folge dem, was mich ruft"
38.53,41.46,Nächte lang geredet
41.77,45.50,"Geweint, geschworen, versöhnt"
46.26,49.39,Gesteh doch endlich ein
50.04,53.12,All das macht nicht frei
53.81,57.03,Ich folge meinem Herzen
57.75,60.62,Woher es auch ruft
61.75,65.26,Und flieg mich frei von jedem Zwang
65.55,69.04,Ein Käfig ist zu klein
69.79,72.60,"Für das, was ich leben will"
73.96,77.19,Leben will
78.60,81.65,Ich würd' viel geben
82.55,85.40,Könnt' ich dir Schmerz erspar'n
85.99,89.42,Doch dies geb' ich nicht
89.77,93.31,Meine Freiheit gehört mir
126.85,129.84,Greif die Chance
130.78,133.31,Fasse Mut
133.81,137.45,Befreie dich auch
137.75,147.80,Befreie dich von mir
149.73,153.11,Ich folge meinem Herzen
153.79,156.70,Woher es auch ruft
157.80,161.29,Und flieg mich frei von jedem Zwang
161.50,165.07,Ein Käfig ist zu klein
165.77,168.68,"Für das, was ich leben will"
169.99,173.42,Leben will
174.33,177.44,Erfüllung deiner Träume
178.57,181.57,Will ich dir wünschen
181.85,185.17,Erbau dir eine neue Welt
185.79,189.95,"Einen Käfig, der sie hält"
