start,end,text
21.36,23.24,Der Himmel zeigt
23.36,27.66,Statt der Engel lauter Wolken
28.31,32.23,Einem Stern wolltest du folgen
33.96,37.98,Doch der Weltraum schweigt
40.26,42.43,Es ist alles still
42.65,46.63,"Und du betest, um dem Rauschen"
47.47,51.50,Eine Botschaft abzulauschen
53.15,56.59,Die nicht kommen will
78.97,80.83,Du liest und fragst
81.05,85.02,Warum durften jene wissen
85.86,90.08,Wo wir heute glauben müssen
91.84,95.10,Und du beklagst
98.21,99.97,Es ist nicht recht
100.25,104.23,Jene durften Wunder schauen
105.09,108.94,Und wir müssen blind vertrauen
110.76,113.89,Doch das kannst du schlecht
117.66,122.03,Wenn Gottes Stimme unhörbar ist
122.80,126.16,Dann weil du nicht leis' genug bist
126.97,131.36,Wenn jedes Wunder erklärbar ist
132.35,135.78,Dann weil du schon viel zu klug bist
136.88,141.00,Wenn Gottes Stimme unhörbar ist
141.98,145.42,Dann weil du nicht leis' genug bist
146.50,150.47,Wenn jedes Wunder erklärbar ist
151.58,155.11,Dann weil du schon viel zu klug bist
196.29,198.55,Übers dünne Eis
198.55,202.61,Folgst du dunklen Fußabdrücken
203.45,207.63,Kannst den vor dir nicht erblicken
209.15,212.29,Da ist kein Beweis
215.49,217.52,Da ist nichts zu sehn
217.88,221.97,Nur ein fast unhörbar leises
222.56,226.98,Sprödes Knistern dünnen Eises
228.37,232.68,Doch du bleibst nicht stehn
