start,end,text
6.69,9.33,"Guayeteo, <nl> ah </nl> "
10.17,15.24,"Hace tiempo no sale a perrear ( <nl> ye, ye, ye </nl> )"
15.24,18.74,"To' el mundo puesto pa guayetear, <nl> ah </nl>"
19.21,23.43,"DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
23.73,25.88,Las gatas solo piden perreo
26.12,29.34,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
29.41,33.47,"DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
33.80,36.00,Las gatas solo piden perreo
36.22,40.11,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
39.40,43.16,"Llegaron lo' del equipaje y se soltaron los perros salvaje', <nl> oh </nl>"
43.34,45.47,Pa' que la' baby' se quiten to' el traje
45.88,48.05,Se nota que tienen to' el tigueraje
48.42,50.58,"Que se quiten el panty, cero visaje"
50.30,52.97,En ambiente y que la' gata' se pongan caliente'
53.13,55.46,Pastilla' de to' colore' y póngase indecente
55.67,57.86,No le gustan serio' ni con porte 'e inocente'
57.86,60.55,Le gustan los tipo' malos y con cara de maleante'
60.38,63.01,"Más duro, más phillie, más sexo, bien duro"
63.36,65.44,Esto va como un rifle sin seguro
66.06,68.07,"Más duro, más phillie, bien duro"
68.57,70.62,La madre pa'l que no mueva el culo
69.77,73.90,"DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
74.29,76.42,Las gatas solo piden perreo
76.66,79.98,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
79.98,84.04,"DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
84.36,86.53,Las gatas solo piden perreo
86.77,90.60,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
90.37,91.88,(Oye) cuidao que se te ve
92.24,93.17,Cuando te guayé
93.52,95.62,Mientra' que lo hacemo' pegaíto a la pared
95.74,98.26,"Te encanta, cuando no' ponemo' caliente'"
98.26,100.64,"Se siente, que el perreo está muy salvaje"
100.64,103.51,"Las gatas lo guayan deli, maki, combo Kawasaki"
103.65,106.01,Como un plato fuerte servido a lo teriyaki
106.13,108.60,Con este perreo le subimo' to' el ranking
108.69,111.16,Como el oso rompiendo en lo' tiempo'e Taki Taki
111.16,115.60,<nl> (Je-je) oh-oh-oh </nl> (guayeteo pa'l barrio)
115.93,119.94,"<nl> Ye-eh-eh (je-je-je, je-je-je) </nl>"
119.94,124.47,"(El flow) DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
124.70,126.92,Las gatas solo piden perreo
127.17,130.38,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
130.49,134.58,"DJ ponga el perreo, to' el mundo puesto pa'l guayeteo"
134.82,137.02,Las gatas solo piden perreo
137.28,141.17,"El que no baile, le sacamo' el de'o, <nl> eh-oh </nl>"
141.74,143.91,"Sencillo, JhoyKing El Duro"
144.91,146.86,"Santos, DC"
147.54,149.82,"Tele, los diablos con los diablos"
150.16,151.89,"Okay, se jodió esta pendeja"
