start,end,text
48.78,52.57,"Sigue aún mis pasos, es como una sombra"
52.73,56.32,Y vuelve a mí
57.67,61.62,"Y esos recuerdos, solo quise borrarlos"
61.62,65.01,Y vuelven a mí
66.55,70.26,¿Cómo encontrar una vía a París
71.36,74.70,Que me lleve hacia ti?
75.48,79.13,¿Cómo olvidar nuestra juventud
79.88,82.32,Y aquella vida?
104.36,108.16,"Algo más que amigos, nos asustó el destino"
110.22,112.20,Cobardes fuimos
113.03,117.66,"Recuerdo su sonrisa, mi alma se alborota"
119.00,120.96,Necesito ya
122.46,125.71,Encontrar una vía a París
126.89,130.45,Que me lleve hacia ti
131.01,134.56,¿Cómo olvidar nuestra juventud
135.40,139.52,Y aquella vida?
142.00,144.91,"Vuelvo, te veo"
146.11,150.04,"Y pienso, háblame"
150.59,154.03,"Vuelvo, me miras"
154.65,158.63,"Y piensas, háblame"
194.07,197.82,Ya encontré una vía a París
198.86,202.32,Que me lleve hacia ti
202.98,206.68,¿Cómo olvidar nuestra juventud
207.39,211.42,Y aquellos días?
