start,end,text
18.54,21.00,Ich werd' nicht aufhören
22.97,24.52,Dich zu lieben
26.30,30.90,In meinem Kopf sind all deine Bilder
34.99,36.97,Und die Erinnerung
38.47,41.50,Heilt nicht meine Wunden
42.44,47.48,Ich will dich sehen für 'n paar Stunden
50.49,53.02,Ich kann dich nicht vergessen
54.52,56.50,Es gelingt mir nicht
58.46,62.57,"Ich warte, bis das Eis zusammenbricht"
66.46,68.90,Ich halt' es nicht mehr aus
70.51,72.57,Es tut so weh
74.49,76.63,Der Schmerz wird stärker
76.95,78.73,Wenn ich dich seh'
98.50,101.16,Mit deinen blauen Augen
102.47,105.51,Hast du mich verzaubert
106.49,108.81,Du hast mein Herz
110.41,113.68,Im Sturm erobert
114.51,117.13,Du bist in meinem Herzen drin
118.47,121.25,So ergibt mein Leben einen Sinn
122.47,125.77,Dein Lächeln kann so schön sein
126.24,128.82,Mein Traum brach ein
130.46,132.79,Ich halt' es nicht mehr aus
134.48,136.53,Es tut so weh
138.47,140.67,Der Schmerz wird stärker
141.00,142.80,Wenn ich dich seh'
146.49,148.98,Ich kann dich nicht vergessen
150.46,152.51,Es gelingt mir nicht
154.46,158.80,"Ich warte, bis das Eis zusammenbricht"
162.44,164.78,Ich halt' es nicht mehr aus
166.48,168.71,Es tut so weh
170.48,172.52,Der Schmerz wird stärker
173.01,174.85,Wenn ich dich seh'
194.51,197.01,Ich kann dich nicht vergessen
198.47,200.74,Es gelingt mir nicht
202.46,206.73,"Ich warte, bis das Eis zusammenbricht"
210.44,212.82,Ich halt' es nicht mehr aus
214.48,216.78,Es tut so weh
218.44,220.67,Der Schmerz wird stärker
221.01,222.77,Wenn ich dich seh'
242.49,245.01,Ich kann dich nicht vergessen
246.49,248.79,Es gelingt mir nicht
250.46,255.06,"Ich warte, bis das Eis zusammenbricht"
