start,end,text
28.60,30.42,"Mira, se van, corre, ¿dónde van?"
30.78,33.21,No pierdas ni un segundo que lo vas a alcanzar
33.75,36.30,"Y cuando llegues, si es que llegas, ya te has ido y has venido"
36.39,38.21,Párate a descansar
38.61,40.47,"Mira, se van, corre, ¿dónde van?"
40.78,43.28,Tus sueños huyeron
43.75,45.82,Mientras corrías sin dudar a toda prisa
45.82,48.60,Intentando destacar
52.33,53.71,Intentando
57.32,58.64,Destacar
62.35,63.84,Intentando
67.33,68.59,Destacar
68.59,70.48,"Mira, se van, corre, ¿dónde van?"
70.48,73.41,No pierdas ni un segundo que lo vas a alcanzar
73.76,75.86,"Y cuando llegues, si es que llegas, no te olvides"
75.93,78.26,Pararte a descansar
78.59,80.46,"Mira, se van, corre, ¿dónde van?"
80.46,83.40,"Tus sueños huyeron, los dejaste escapar"
83.77,85.79,Mientras corrías sin dudar a toda prisa
85.79,89.44,Intentando destacar
112.35,113.71,Intentando
117.35,118.79,Destacar
122.35,123.81,Intentando
130.05,134.70,Busca un hueco en la agenda y sonríe otra ve'
134.87,140.67,"<nl> (Uh-uh-uh, uh-uh-uh, uh-uh-uh-uh) </nl>"
140.78,145.80,Que no te hunda el ritmo que lleva ese tren
146.04,152.14,"<nl> (Uh-uh-uh, uh-uh-uh, uh-uh-uh-uh) </nl>"
151.94,157.11,¿De qué sirve vivir ahogado y con estrés?
157.20,163.03,"<nl> (Uh-uh-uh, uh-uh-uh, uh-uh-uh-uh) </nl>"
163.12,168.24,"Esclavo de tu tiempo, hazlo al revés"
168.35,173.19,"<nl> (Uh-uh-uh, uh) </nl>"
173.19,175.13,"Mira, se van, corre, ¿dónde van?"
175.13,178.04,No pierdas ni un segundo que lo vas a alcanzar
178.43,180.51,"Y cuando llegues, si es que llegas, no te olvides"
180.61,182.52,Pararte a descansar
183.24,185.12,"Mira, se van, corre, ¿dónde van?"
185.44,187.65,Tus sueños huyeron
188.41,190.44,Mientras corrías sin dudar a toda prisa
190.44,192.63,Intentando destacar
