start,end,text
47.08,50.75,Durch diese Wände dringt ein dumpfer Klang
51.65,54.54,Und er führt uns im Kreis
55.89,60.37,"Was jetzt noch bleibt, ist keine Zeit zu verlieren"
60.81,64.26,Sind gefangen im Labyrinth
64.85,69.21,Der Wille ist stark und es verlangt nach mehr
69.69,73.83,Die wunde Kehle erhebt ihre Stimme
74.40,78.32,Selbst wenn sich der Geist vom Körper trennt
78.83,87.45,Erfüllt uns kein Frieden dieser Welt
101.42,105.98,Der Puls schlägt schneller und der Hass nimmt die Luft
105.98,110.39,Ein Feuer wächst in unserer Brust
110.57,115.13,Entflammte Gedanken trocknen die Tränen
115.13,120.59,Das Blut verbrennt in den Venen
