start,end,text
20.02,21.98,"People gon' hate, let 'em do it (ah)"
21.90,23.82,Shine like it ain't nothin' to it (that's right)
23.74,25.58,"Damn, you a major influence (oh)"
25.44,27.03,Skate like there ain't nothin' doin'
27.03,28.86,"Live life, don't say nothin' to 'em"
29.61,31.57,"People gon' hate, let 'em do it (ah)"
31.42,32.99,Shine like it ain't nothin' to it (that's right)
33.37,35.01,"Damn, you a major influence (oh)"
35.04,36.64,Skate like there ain't nothin' doin'
36.64,38.59,"Live life, don't say nothin' to 'em"
39.26,40.86,People tellin' lies on me
41.08,43.11,"Feelin' like Pac, all eyes on me"
43.46,44.98,What my next rhyme gon' be
45.29,47.97,Dull motherfuckers never ever gon' shine off me?
48.62,50.84,"Wait for it, wait for it, wait for it"
51.03,53.25,"Don't worry, my haters is gon' pay for it"
53.37,55.59,Chase dreams but dumb niggas that chase whores
55.88,59.57,"Overseas on a great tour, or maybe I'm just dreamin'"
60.01,62.54,"It beats bein' with demons, all niggas are schemin'"
62.54,64.28,At least I'm thinkin' of an achievement
64.47,67.07,People talk shit for four seasons for no reason
67.45,69.41,People dog Lebron 'til Lebron show up
69.83,71.87,"When he steps on the paint, then their guards go up"
71.96,74.27,"Scores go up, all the applause go up"
74.35,77.34,And everybody in the whole damn court goes nuts
77.65,79.55,"People gon' hate, let 'em do it (ah)"
79.46,81.46,Shine like it ain't nothin' to it (that's right)
81.38,82.98,"Damn, you a major influence (oh)"
83.01,84.67,Skate like there ain't nothin' doin'
84.67,86.39,"Live life, don't say nothin' to 'em"
87.22,89.23,"People gon' hate, let 'em do it (ah)"
89.00,91.01,Shine like it ain't nothin' to it (that's right)
90.92,92.61,"Damn, you a major influence (oh)"
92.64,94.22,Skate like there ain't nothin' doin'
94.22,96.02,"Live life, don't say nothin' to 'em"
96.49,98.46,"Spectators, sideliners"
98.99,100.99,Spendin' days comin' up with sly comments
100.99,103.63,"That's psychotic, why tarnish a fly product?"
103.85,105.85,Why be mad just 'cause I got it? Hey
106.18,108.18,"I may never know, wave to the haters"
108.09,109.42,That put me on the pedestal
109.46,111.79,"Talk smack, but they really know I'm incredible"
112.15,115.41,"Unforgettable, young blue eyes, the new guy is on schedule"
115.46,117.73,Man behind bars and that's minus the federal
117.88,120.17,"Stone giant, what the hell could some pebbles do"
120.53,122.57,"While you revel in drama, I'm buildin' revenue"
122.79,125.08,"Tell 'em you'll get 'em tomorrow, there ain't no stressin' you"
125.36,127.06,"Life goes on, life goes on"
127.24,129.43,You the shit even before those lights went on
129.57,131.87,They gon' trash you even if they like your song
132.06,134.34,People always gon' judge homie right or wrong
135.28,136.84,"People gon' hate, let 'em do it"
137.08,138.61,Shine like it ain't nothin' to it
138.99,140.52,"Damn, you're a major influence"
140.69,142.33,Skate like there ain't nothin' doin'
142.33,143.99,"Live life, don't say nothin' to 'em"
144.87,146.36,"People gon' hate, let 'em do it"
146.58,148.35,Shine like it ain't nothin' to it
148.48,150.05,"Damn, you're a major influence"
150.21,151.82,Skate like there ain't nothin' doin'
151.82,153.59,"Live life, don't say nothin' to 'em"
154.51,155.98,We don't give a damn what you did
156.30,157.70,We don't give a damn who are
158.01,159.57,"Homie, you ain't down with the team"
159.87,161.38,We don't give a damn what you think
161.65,163.71,"We don't give a damn what you thought (thought, thought)"
164.06,165.60,We don't give a damn what you did
165.94,167.33,We don't give a damn who are
167.69,169.15,"Homie, you ain't down with the team"
169.50,170.90,We don't give a damn what you think
171.28,173.41,"We don't give a damn what you thought (thought, thought)"
