start,end,text
9.01,14.74,"(Ja-ja-ja-ja-ja-ja, <nl> oh </nl> )"
16.64,18.42,Ich hab keine Lust mir das Leben
18.62,20.18,Von Deppen vermasseln zu lassen
20.41,20.92,Sag mir nicht
21.16,22.41,Ich könnt' was besser machen
22.41,24.21,Ich hab keine Lust mir das Leben
24.40,25.97,Von Deppen vermasseln zu lassen
26.20,26.74,Sag mir nicht
26.93,28.11,Ich könnt' was besser machen
28.20,29.68,Ich habe keine Lust darauf
29.81,31.46,Dass du mich ständig korrigierst
31.63,32.81,Mir sagst was ich zu tun hab
32.91,34.26,Und es selber nicht probierst
34.33,35.44,Keine Lust darauf
35.60,37.19,Dass du ewig dazwischenfunkst
37.42,38.72,Mir dauernd alles vorhältst
38.72,40.08,Und es selber nicht versuchst
40.13,41.27,Keine Lust darauf
41.40,42.98,Immer dasselbe zu hören
42.98,44.40,Hältst es wohl nicht für möglich
44.47,45.79,Dass mich sowas manchmal stört
45.91,47.08,Keine Lust darauf
47.18,48.62,Immer dasselbe zu tun
48.62,50.06,Ich hab kein Bock mehr drauf
50.25,51.57,Also lass mich doch in Ruh'
51.69,52.46,Keine Lust
52.78,54.57,"Nein, nein, nein, nein"
54.57,56.29,Keine Lust
57.12,58.22,Ich hab keine Lust
58.56,60.36,"Nein, nein, nein, nein"
60.36,62.45,"Keine Lust, ey"
62.91,64.34,Ich habe keine Lust darauf
64.54,66.07,Dass du mich ewig fertig machst
66.34,67.44,Mich immer kritisierst
67.44,68.99,Und dabei selber gar nichts schaffst
69.06,70.28,Keine Lust dadurch
70.50,71.93,Dass du dauernd etwas hast
72.28,73.35,Nie passt dir was
73.35,74.74,"Sondern sagst, ich hätt' versagt"
74.83,76.18,Keine Lust darauf
76.26,77.71,Meistens Schuld zu sein
77.71,79.16,Du kriegst gar nichts auf die Reihe
79.16,80.50,Und lässt dich auf nichts ein
80.59,81.79,Keine Lust darauf
82.06,83.49,Immer Lust haben zu müssen
83.82,84.72,Schließlich musst du ja
84.94,86.29,Immer alles besser wissen
86.38,87.78,Keine Lust mir das Leben
88.01,89.57,Von Deppen vermasseln zu lassen
89.82,90.39,Sag mir nicht
90.54,91.81,Ich könnte was besser machen
91.81,93.59,Ich habe keine Lust mir das Leben
93.80,95.36,Von Deppen vermasseln zu lassen
95.57,96.14,Sag mir nicht
96.34,97.60,Ich könnt' was besser machen
97.60,98.77,Ich hab keine Lust
99.05,100.84,"Nein, nein, nein, nein"
100.84,102.64,Keine Lust
103.39,104.56,Ich hab keine Lust
104.82,106.62,"Nein, nein, nein, nein"
106.62,108.82,"Keine Lust, ey"
109.18,110.70,Ich hab keine Lust darauf
110.78,112.50,Dass du mich ständig attackierst
112.61,113.87,"Mir sagst, was ich zu tun hab"
113.87,115.30,Und es selber nicht probierst
115.30,116.38,Keine Lust darauf
116.56,118.29,Dass du ewig dazwischenfunkst
118.37,119.66,Mir dauernd alles vorhältst
119.66,121.07,Und es selber nicht versuchst
121.07,122.15,Keine Lust darauf
122.36,123.97,Immer dasselbe zu hören
123.97,125.42,Hältst es wohl nicht für möglich
125.42,126.76,Dass mich sowas manchmal stört
126.87,127.96,Keine Lust darauf
128.14,129.59,Immer dasselbe zu tun
129.59,131.01,Ich hab' kein Bock mehr drauf
131.22,132.55,Also lass mich doch in Ruh'
132.65,134.08,Keine Lust mir das Leben
134.28,135.87,Von Deppen vermasseln zu lassen
136.08,136.61,Sag mir nicht
136.82,138.08,Ich könnt' was besser machen
138.08,139.90,Ich habe keine Lust mir das Leben
140.06,141.66,Von Deppen vermasseln zu lassen
141.84,142.41,Sag mir nicht
142.61,143.86,Ich könnt' was besser machen
143.86,144.92,Ich hab keine Lust
145.31,147.11,Nein nein nein nein
147.11,148.71,Keine Lust
149.65,150.81,Ich hab keine Lust
151.09,152.89,Nein nein nein nein
152.89,155.07,"Keine Lust, ey"
155.45,156.57,Ich hab keine Lust
156.87,158.68,Nein nein nein nein
158.68,160.35,Keine Lust
161.20,162.30,Ich hab keine Lust
162.66,164.46,Nein nein nein nein
164.46,166.67,"Keine Lust, ey"
167.00,168.05,Ich hab keine Lust
168.43,170.19,Nein nein nein nein
170.25,172.13,Keine Lust
172.78,173.81,Ich hab keine Lust
174.22,175.95,Nein nein nein nein
176.03,176.86,Keine Lust
177.12,178.92,Nein nein nein nein
178.92,180.34,Keine Lust mir das Leben
180.54,182.13,Von Deppen vermasseln zu lassen
182.34,182.91,Sag mir nicht
183.08,184.36,Ich könnt' was besser machen
184.36,186.12,Ich habe keine Lust mir das Leben
186.33,187.90,Von Deppen vermasseln zu lassen
188.11,188.66,Sag mir nicht
188.88,190.13,Ich könnte was besser machen
190.13,191.23,Ich hab keine Lust
191.56,193.37,Nein nein nein nein
193.37,195.02,Keine Lust
195.92,196.99,Ich hab keine Lust
197.34,199.08,Nein nein nein nein
199.15,201.38,"Keine Lust, ey"
201.70,202.94,Ich hab keine Lust
207.48,208.63,Ich hab keine Lust
213.24,214.45,Ich hab keine Lust
219.04,220.31,Ich hab keine Lust
224.83,226.06,Ich hab keine Lust
