start,end,text
22.84,26.99,I'm asleep at the wheel and there's a curve in the highway
30.15,34.81,Yet we tear through the night like a peyote migraine
37.09,44.20,"How much further is it, aching, so exquisite"
44.98,49.10,I hope we can stop in time
52.36,56.95,"Now you don't want to dance, 'cause we're looking right through you"
57.97,64.21,"<nl> Oh-oh-oh-oh-oh, </nl> and the clothes that you wear, we don't mean to stare"
74.48,78.66,Now the sky is on fire and the desert is freezing
81.91,86.05,"Wonder how I'm alive, when I'm not even breathing"
88.78,95.96,"How much further is it, aching, so exquisite"
96.65,100.93,I hope we can stop in time
104.02,108.88,"Now you don't want to dance, 'cause we're looking right through you"
109.58,116.05,"<nl> Oh-oh-oh-oh-oh, </nl> and the clothes that you wear, we don't mean to stare"
117.05,123.53,"<nl> Oh-oh-oh-oh-oh, </nl> but the people you know, they say what they want to"
124.31,130.98,"<nl> Oh-oh-oh-oh-oh, </nl> 'cause the truth of it is, we don't really care"
