start,end,text
23.76,25.23,Racking and jacking my mind up
25.65,27.07,"Cannot be telling the time, I"
27.61,28.57,"Don't care, no"
29.24,30.52,"I don't care, no"
30.94,32.87,You send thirty messages drunk
33.12,34.71,And dirty messages drunk
35.14,36.12,But I don't look
36.65,38.18,"No, I can't be **** to look"
39.00,41.33,I could not breathe
42.58,45.18,You took your toll on me
46.39,49.00,"You're suffocating, please"
50.21,52.14,But since I watched you leave
54.30,57.86,I can see for the first time
61.67,65.34,And I can see for the first time
69.28,72.39,And I can see for the first time
72.63,74.38,For the first time
76.93,80.05,And I can see for the first time
88.25,89.41,You get jealous easily
90.34,91.58,You did not make it easy
92.13,93.54,But what was I expecting?
93.91,95.44,It's a very fitting ending
95.90,97.65,"You say I hurt you bad, well"
97.83,99.44,That was never my intent
99.68,101.25,I was looking out for myself
101.64,103.53,And all of my mental health
103.89,106.15,And I could not breathe
107.36,109.84,You took your toll on me
111.08,113.77,"You're suffocating, please"
114.91,118.60,"But since I watched you leave, I noticed"
118.85,122.23,And I can see for the first time
126.71,129.75,I can see for the first time
134.28,137.28,I can see for the first time
137.49,139.10,For the first time
139.28,141.27,For the first time
141.65,145.16,And I can see for the first time
148.49,152.34,There is no better deduction
152.34,156.16,There is no better solution
156.16,159.94,There is no better deduction
159.94,163.83,There is no better solution
163.83,167.60,There is no better deduction
167.60,171.41,There is no better solution
171.41,175.22,There is no better deduction
175.22,179.16,There is no better solution
183.83,187.02,I can see for the first time
187.61,190.60,I can see for the first time
191.39,194.55,I can see for the first time
194.55,196.12,For the first time
196.37,198.22,For the first time
199.00,202.19,I can see for the first time
202.87,205.73,I can see for the first time
206.67,209.30,I can see for the first time
209.68,211.33,For the first time
211.69,213.73,For the first time
