start,end,text
4.83,6.50,Era un día cualquiera
7.04,8.60,En la región de Wuhan
9.48,11.26,Y había un pobre hombre
11.81,13.37,Que no tenía ni pan
14.40,17.07,Entonces algo curioso pasó
17.77,19.34,Un murciélago se comió
19.34,21.70,Y el coronavirus nació
23.18,25.53,"Coronavirus, coronavirus"
25.63,27.80,"Coronavirus, virus"
28.07,30.26,"Coronavirus, virus"
30.42,32.66,"Coronavirus, virus"
32.85,35.11,"Coronavirus, coronavirus"
35.21,37.33,"Coronavirus, virus"
37.61,39.83,"Coronavirus, virus"
40.02,41.98,Coronavirus
42.87,44.83,"Muy poquito, poquito a poco"
45.28,47.06,Toda China se enfermó
47.69,49.69,Falta de aire y estornudos
49.85,51.70,Mocos y un poco de to'
52.67,55.87,Entonces se tomaron medidas
56.10,57.84,Ya no había otra salida
58.26,60.23,El coronavirus se expandió
61.62,63.88,"Coronavirus, coronavirus"
64.00,66.11,"Coronavirus, virus"
66.49,68.52,"Coronavirus, virus"
68.80,70.89,"Coronavirus, virus"
71.26,73.52,"Coronavirus, coronavirus"
73.63,75.77,"Coronavirus, virus"
76.07,78.12,"Coronavirus, virus"
78.41,80.36,Coronavirus
81.24,83.12,Después de unos cuantos días
83.69,85.21,Hasta Italia ya llegó
86.11,87.98,El Papa en el Vaticano
88.51,90.26,Por todos ellos rezó
91.06,94.19,De nada sirvieron sus plegarias
94.49,96.48,No le dieron ni las gracias
96.71,98.93,Y por Europa se propagó
99.99,102.34,"Coronavirus, coronavirus"
102.42,104.58,"Coronavirus, virus"
104.88,106.92,"Coronavirus, virus"
107.21,109.32,"Coronavirus, virus"
109.61,111.93,"Coronavirus, coronavirus"
112.04,114.15,"Coronavirus, virus"
114.44,116.52,"Coronavirus, virus"
116.81,118.76,Coronavirus
119.61,121.69,Entre payos y gitanos
122.08,123.74,Él no hizo distinción
124.44,126.19,Y ha dejado a media España
126.85,128.57,Sin calle ni profesión
129.40,132.37,Y ahora estamos todos arruinados
132.84,134.81,Y esta historia no ha acabado
135.29,137.29,Y yo canto esta canción
138.39,140.69,"Coronavirus, coronavirus"
140.83,143.09,"Coronavirus, virus"
143.27,145.32,"Coronavirus, virus"
145.61,147.72,"Coronavirus, virus"
148.02,150.24,"Coronavirus, coronavirus"
150.40,152.64,"Coronavirus, virus"
152.84,154.91,"Coronavirus, virus"
155.21,157.18,Coronavirus
157.34,159.51,Lo tiene el presidente
159.89,161.74,Y también la Merkel
162.19,164.14,"Lo tiene ""el Coletas"""
164.61,166.00,Y hasta ese de Vox
167.00,169.01,Lo ha pillado el Papa
169.37,171.60,Y también la Paca
171.81,175.08,Y si te descuidas
175.38,179.07,Tú lo pillarás
