start,end,text
23.37,24.42,C'était l'hiver
24.63,26.39,Le jour de la sortie scolaire
27.85,29.70,Au musée d'air contemporain
31.81,32.91,La lutte des classes
32.91,35.21,Pour les professeurs qui menacent
36.62,38.34,Les gamins qui n'contemplent rien
40.97,43.13,On voyait dans des petites fenêtres
43.74,45.02,Des photos pas très nettes
45.43,47.07,De l'état de l'air de la planète
49.73,51.44,Des animaux dans des bocaux
51.67,53.74,Des arbres dans des frigos
54.02,55.86,"Et puis moi, j'trouvais ça beau"
58.02,59.40,Un guide austère
59.40,61.24,Nous dépeignait l'histoire de l'air
62.40,64.70,"La période bleue, la période noire"
66.73,67.67,Comme si la planète
67.82,70.11,Était une grande palette
71.09,73.65,Avec le trou d'la couche de jaune
75.87,77.76,On voyait dans des petites fenêtres
78.64,79.88,Des photos pas très nettes
79.99,82.28,De l'état de l'air de la planète
84.65,86.51,Des animaux dans des bocaux
86.51,88.82,Des arbres dans des frigos
88.82,90.86,"Et puis moi, j'trouvais ça chouette"
110.61,111.82,Paraît qu'avant
111.82,114.23,"Y avait de l'air, y avait du vent"
115.08,117.46,De la verdure dans les prairies
119.10,120.19,"Oui, mais maintenant"
120.19,122.67,"La terre, le ciel, les océans"
123.86,125.79,"Ils sont tout froids, ils sont tout gris"
128.26,130.14,On voyait dans des petites fenêtres
130.97,132.11,Des photos pas très nettes
132.34,134.52,De l'état de l'air de la planète
137.01,138.81,Des animaux dans des bocaux
138.88,141.19,Des arbres dans des frigos
141.19,143.21,"Et puis moi, j'trouvais ça beau"
145.43,146.53,Fin de la visite
146.77,148.63,On se dirige vers la boutique
150.03,152.05,Du musée d'air contemporain
154.00,155.04,Bouteilles d'eau claire
155.11,157.74,Sachets de terre et bonbonnes d'air
158.87,160.62,Fruits et légumes en parfum
163.17,165.04,On voyait dans des petites fenêtres
165.86,167.15,Des photos pas très nettes
167.28,169.41,De l'état de l'air de la planète
171.88,173.83,Des animaux dans des bocaux
173.83,176.09,Des arbres dans des frigos
176.37,178.02,"Et puis moi, j'trouvais ça beau"
