start,end,text
22.68,25.40,"Par jours de grand vent, les ondes brumeuses s'épanchent"
25.40,28.09,Agissent comme des cure-dents agrafés sur ta tronche
28.16,30.68,"Pas un pas, pas un geste, haut les mains, bas les pattes"
30.80,33.37,"The Anatole's conquest, ça tabasse à coups de battes"
33.51,35.83,"QSM est puissant, pas trop concupiscent"
36.13,38.63,"Ils n'ont qu'une seule passion, la piquette du baron"
38.84,41.20,"QSM paye comptant, il n'est jamais content"
41.46,43.93,"Il beugle, dissonant et aussi trébuchant"
44.11,46.59,Plus tu aimes Anatole et plus il te déteste
46.89,49.38,"Pire que Georges Abitbol, il te bouffe comme la peste"
49.67,52.02,"Son courroux éclate, plus chaud qu'un panini"
52.02,54.62,La violence du squamate égale sa vilenie
54.62,57.46,"Dans un contexte vicié, les aristocrates officient"
57.46,60.08,L'ambiance est épicée quand ils vident leurs vessies
60.08,62.60,"C'est la fête des bouchons, le royaume des glous-glous"
62.82,65.42,"L'alcool coule à foison, ils le pompent comme des poux"
92.19,95.89,"Sous ses abords austères, Du Skud sait festoyer"
97.49,101.05,Le marquisat prospère dans la rude chaire vitrée
102.81,106.45,"Le baron fanfaronne, titille la chartreuse"
108.15,112.48,"C'est pas qu'elle soit bonne, mais qu'est-ce qu'elle tape, la gueuse !"
113.55,117.00,"Si l'argent n'a pas d'odeur, la crasse en a bien une"
118.90,122.27,"QSM sent le beurre, tartiné sur ta lune"
153.59,156.82,La véranda résonne comme la bande de Gaza
158.72,162.59,"Les QSM, obscènes, dégazent comme Zavatta"
