start,end,text
8.72,11.06,Je me faufile en filature
12.53,15.10,Le long de longues files en attente
16.32,19.83,"Non, je n'aime pas trop quand ça dure"
20.14,22.42,"Alors je passe, je fraude, je tente"
23.92,27.42,"Première de ma promo, j'préfère"
27.74,30.39,"Derrière moi, ça grogne et ça gronde"
31.52,33.59,"La haine, moi, j'en ai rien à faire"
35.34,37.27,Ils veulent juste que je leur réponde
38.64,42.67,"Allez, offrez-vous un peu d'rêve (un peu d'rêve)"
42.97,45.95,À tous ceux qui n'font plus de trêve
46.33,50.17,"Allez, allez, jetez-vous dans l'arène (dans l'arène)"
50.17,52.71,"Le roi est mort, vive la reine"
53.68,57.60,<nl> (Ouh) </nl> chacun est pour l'autre le suivant
58.18,63.25,"Personne ne bouge, tout l'monde attend <nl> (ouh-ouh-ouh-ouh) </nl>"
62.04,65.28,"Marchez-vous dessus, montrez les dents"
65.81,67.75,"Crachez-vous dessus, l'est encore temps"
69.17,70.13,Allez
70.98,71.54,"Allez, allez"
72.86,73.93,"Allez, allez, allez"
84.83,87.31,Ils s'entassent tous en silence
88.66,91.26,Comme des tas de vers de terre
92.48,94.81,Ils ne veulent plus croire en la science
96.29,98.20,Ils ont toujours peur de l'enfer
100.08,103.51,Ils ne connaissent pas leur chance
103.87,107.39,D'être si à sens unique
107.71,110.81,Jamais ils ne disent ce qu'ils pensent
111.26,114.07,Ils écoutent bien trop la politique
114.86,119.02,"Allez, offrez-vous un peu d'rêve (un peu d'rêve)"
119.17,122.20,À tous ceux qui n'font plus de trêve
122.50,126.22,"Allez, allez, jetez-vous dans l'arène (dans l'arène)"
126.32,129.53,"Le roi est mort, vive la reine"
129.89,134.16,<nl> (Ouh) </nl> chacun est pour l'autre le suivant
134.40,139.38,"Personne ne bouge, tout l'monde attend <nl> (ouh-ouh-ouh-ouh) </nl>"
138.19,141.17,"Marchez-vous dessus, montrez les dents"
142.01,144.02,"Crachez-vous dessus, l'est encore temps"
145.42,148.42,"Allez, allez"
148.70,153.16,"Allez, allez"
156.21,156.90,"Allez, allez !"
158.82,159.28,Allez !
160.83,162.48,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
162.59,164.59,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
164.61,166.48,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
166.50,168.77,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh (wou-ouh) </nl>"
168.44,170.11,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
170.35,172.05,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
172.23,173.93,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
174.13,175.91,"<nl> Ouh-ouh, ouh-ouh-ouh-ouh </nl>"
176.10,179.86,( <nl> Ouh </nl> ) chacun est pour l'autre le suivant
180.12,185.50,"Personne ne bouge, tout l'monde attend ( <nl> ouh-ouh-ouh-ouh </nl> )"
183.92,187.43,"Marchez-vous dessus, montrez les dents"
187.72,189.77,"Crachez-vous dessus, l'est encore temps"
