start,end,text
15.26,16.75,L'homme ne sera jamais libre
17.94,18.39,(Pourquoi ?)
22.00,24.17,Comme un loup que l'on assigne à résidence
24.39,26.56,"Apaisé, vulnérable, attendant providence"
26.79,28.95,Pour des aigles voraces qui ne voient que pitance
29.19,31.41,"Qui ne laisseront que l'os, voilà ma délivrance"
31.57,33.75,Comme un loup que l'on assigne à résidence
33.98,36.15,"Apaisé, vulnérable, attendant providence"
36.38,38.47,Pour des aigles voraces qui ne voient que pitance
38.79,40.75,"Qui ne laisseront que l'os, voilà ma délivrance"
40.45,42.89,"L'homme est un fauve en cage, épris de liberté"
42.89,45.24,Qui ne rêve qu'à plier bagage et ne jamais se retourner
45.24,47.46,"Un chien docile et sage, statique comme une image"
47.68,50.08,Retenu en otage avec pour deal un beau mirage
50.08,52.70,L'homme tient un faux langage quand il s'agit de s'exprimer
52.78,54.85,Il contient toute sa rage avec l'envie de tout briser
54.85,57.26,"C'est la recette du succès, les agneaux ne savent pas danser"
57.26,59.71,Et les journées qui se succèdent nous en empêcheront d'y penser
60.23,62.58,À ne plus nourrir ce qui est essentiel
62.72,64.89,À mourir au nom de cette essence
65.16,67.14,À vouloir dominer le ciel
67.14,69.88,Il n'y a que des barreaux pour lesquels nous n'trouverons pas le sommeil
69.96,72.13,Comme des papillons amputés des ailes
72.24,74.51,Comme tous ces humains shootés au diesel
74.75,76.74,Reproduction d'un cycle artificiel
76.74,79.30,Il n'y a que les oiseaux qui peuvent se réveiller au sommet
98.73,100.90,Comme un loup que l'on assigne à résidence
101.11,103.29,"Apaisé, vulnérable, attendant providence"
103.52,105.66,Pour des aigles voraces qui ne voient que pitance
105.90,108.16,"Qui ne laisseront que l'os, voilà ma délivrance"
108.31,110.46,Comme un loup que l'on assigne à résidence
110.70,112.86,"Apaisé, vulnérable, attendant providence"
113.08,115.22,Pour des aigles voraces qui ne voient que pitance
115.51,117.63,"Qui ne laisseront que l'os, voilà ma délivrance"
116.97,119.71,"L'homme n'est plus un sage, un guide parmi les singes"
119.71,122.45,Un animal qui vibre au rythme de nombreux messages codés
122.60,124.83,Il se prétend Messie dans un monde vicieux
124.99,127.22,"Il se sent progressé, unique quand il ferme les yeux"
126.73,129.30,L'homme est un solitaire actif mais paresseux
129.46,131.56,Il adule les vipères qui se délectent de tous ces vœux
131.56,133.79,"Il envie le courage, une envie de courir"
133.96,136.51,Vers un profond sentiment de construire un monde à son image
136.51,137.00,Alors
137.26,139.16,Plus nourrir ce qui est essentiel
139.39,141.62,À mourir au nom de cette essence
141.87,143.84,À vouloir dominer le ciel
143.84,146.54,Il n'y a que des barreaux pour lesquels nous n'trouverons pas le sommeil
146.69,148.87,Comme des papillons amputés des ailes
148.95,151.28,Comme tous ces humains shootés au diesel
151.52,153.45,Reproduction d'un cycle artificiel
153.45,156.26,Il n'y a que les oiseaux qui peuvent se réveiller au sommet
