start,end,text
29.78,35.35,"Late nights staying up, messaging you"
36.82,43.15,Can I express what I'm feeling for you without revealing truths?
43.31,46.51,I've been thinking about you lately (lately)
46.85,49.94,"That's a massive understatement, baby"
50.37,54.14,I can't stop thinking about you all day and all night
55.11,56.55,"Oh, but is it right?"
58.24,64.13,"Finally figured it out, I got my head around it"
65.35,71.29,Although I know I've got to get myself out of this habit
72.76,78.29,"Of falling for someone who's out of reach, it's unrealistic"
79.55,85.19,"My dream won't become a reality, but was it meant to be?"
86.00,89.14,I've been thinking about you lately (lately)
89.46,92.72,"That's a massive understatement, baby"
93.05,96.90,'Cause I'm thinking about you all day and all night
97.74,99.46,"Oh, but is it right?"
101.13,106.93,"I don't know but I, I know how it feels to me"
107.62,113.46,"Maybe you're just playing games, a game I don't wanna play"
114.67,121.17,"I don't know but I, I know how it feels to me"
121.92,128.28,"Maybe you're just playing games, a game I don't wanna play"
142.87,146.02,I've been thinking about you lately (lately)
146.35,149.63,"That's a massive understatement, baby"
149.96,153.79,'Cause I'm thinking about you all day and all night
154.44,156.32,"Oh, but is it right?"
157.09,160.20,I've been thinking about you lately (lately)
160.69,163.87,"That's a massive understatement, baby"
164.16,168.16,'Cause I'm thinking about you all day and all night
168.65,170.40,"Oh, but is it right?"
