start,end,text
10.57,14.56,"<nl> Ah, na-na-na, na-na </nl>"
14.70,16.47,J'vois pas l'intérêt qu'on s'capte dans la rue
16.47,19.15,Si t'es déjà dans ma tête ( <nl> ah </nl> )
18.19,19.45,J'connais le vice et la ruse
19.52,23.02,"Moi, j'voyais personne quand j'avais besoin d'aide ( <nl> ah </nl> )"
22.06,23.37,Tu mets d'la haine dans ce cœur
23.37,24.23,J'en remets dans l'cup
24.35,29.23,Plus rien n'peut m'éclaircir ( <nl> ah </nl> )
25.78,27.19,J'ai mis des pansements sur nos peurs
27.19,28.14,Mais pas sur nos pleurs
28.22,29.52,Comment puis-je m'investir
29.61,31.20,Et j'fais une prière à l'éternel
31.20,34.87,J'ai eu plus d'un tetrai dans la vie ( <nl> ah </nl> )
33.58,34.98,Toi t'était là l'année dernière
34.98,38.85,Cette année qui va me souhaiter mon anniv' ( <nl> ah </nl> ) ?
37.40,38.72,Tu mets d'la haine dans ce cœur
38.72,39.54,J'en remets dans l'cup
39.64,41.78,Plus rien n'peut m'éclaircir ( <nl> ah </nl> )
41.18,43.46,J'ai mis des pansements sur nos peurs (sur nos peurs)
43.55,44.73,Comment puis-je m'investir ?
44.89,48.57,Et qui effacera mes larmes ?
49.41,51.06,J'suis bon qu'à effriter
51.30,53.06,J'fais du cash everyday
52.57,56.26,Et qui effacera mes larmes ?
57.08,58.77,J'suis bon qu'à effriter
58.98,60.74,J'fais du cash everyday
60.83,62.06,Les larmes et la haine
62.72,63.93,Des larmes et la pénombre
64.59,65.85,J'veux zapper son prénom
66.49,67.77,J'veux zapper son prénom
67.65,69.72,Les larmes et la haine
70.38,71.64,Des larmes et la pénombre
72.26,73.54,J'veux zapper son prénom
74.14,75.43,J'veux zapper son prénom
75.64,77.01,Encore khabat dans la ville
77.06,80.78,"J'te vois dans la nuit, t'a éteint cette flamme ( <nl> ah </nl> )"
79.50,80.83,"Mais des mecs comme moi, y en a mille"
80.90,81.68,"Pas d'frères, pas d'amies"
81.68,84.83,La vie j'vois qu'cette femme ( <nl> ah </nl> )
83.53,85.54,Autour de moi que la misère
85.54,87.07,"Trop de questions, trop de mystère ( <nl> ah </nl> )"
87.30,88.57,Ils m'demandent pourquoi j'suis sad
88.65,89.60,Mon cœur il est sale
89.60,91.13,On finit par s'y faire
92.62,94.23,J'regarde la lune
94.51,96.08,J'prends somnifère
96.48,97.93,Seul quand j'm'allume
98.35,99.90,Seul tout l'hiver
100.39,103.71,Ils rêvent de tout ce qu'ils n'ont pas
104.09,108.27,"Seul dans la nuit, tu m'réponds pas ('ponds pas, 'ponds pas)"
108.27,111.90,Et qui effacera mes larmes ?
112.75,114.43,J'suis bon qu'à effriter
114.66,116.50,J'fais du cash everyday
115.92,119.51,Et qui effacera mes larmes ?
120.44,122.13,J'suis bon qu'à effriter
122.35,124.11,J'fais du cash everyday
124.17,125.43,Les larmes et la haine
126.08,127.27,Des larmes et la pénombre
127.95,129.22,J'veux zapper son prénom
129.84,131.09,J'veux zapper son prénom
131.75,132.96,Les larmes et la haine
133.73,134.92,Des larmes et la pénombre
135.60,136.84,J'veux zapper son prénom
137.49,138.78,J'veux zapper son prénom
139.40,140.66,J'veux zapper son prénom
