start,end,text
28.03,33.77,Die Welt um mich herum bewegt sich stetig
35.29,39.56,Alles rauscht nur so an mir vorbei
42.48,49.36,"Sehe alles nur verschleiert, scheint so weit weg doch ist es hier"
50.22,53.66,Ich fühle mich hypnotisiert
57.53,64.38,Und von weit entfernt hör ich ein Geräusch
64.81,70.53,"Ein zarter Klang, der mein Herz erfreut"
70.58,74.07,"Musik, du bist zurück"
74.61,77.70,Um mich mit Liebe aufzufüllen
78.29,84.67,Um meine Seele zu berühr'n
85.51,89.17,Sind die Depressionen auch noch so groß
89.54,92.87,Holst du mich immer wieder raus
93.39,99.92,Gibst mir Mut und Kraft für jeden neuen Tag
100.47,103.49,Wär' ich taub oder wär' ich stumm
104.04,107.66,Hätte ich all diese Lieder nie gesung'
108.07,115.18,"Hätte ich nicht mal gewusst, wie mir jetzt geschieht"
115.66,119.27,"Musik, du bist zurück"
119.71,123.18,Um mich mit Liebe aufzufüllen
123.45,132.26,Um meine Seele zu berühr'n
161.15,167.09,"Die Erde kreist und kreist, sie dreht sich ewig"
169.20,173.23,Alles kommt und zieht vorbei
176.14,182.84,"Suche Ordnung in dem Chaos, suche Frieden in dem Krieg"
183.75,187.57,"Und wunder mich, warums nicht geht"
191.02,197.71,Und von weit entfernt hör ich ein Geräusch
198.34,204.14,"Ein zarter Klang, der mein Herz erfreut"
204.14,207.59,"Musik, du bist zurück"
208.09,211.28,Um mich mit Liebe aufzufüllen
211.75,218.34,Um meine Seele zu berühr'n
218.88,222.48,Sind die Depression auch noch so groß
222.85,226.32,Holst du mich immer wieder raus
226.77,233.00,Gibst mir Mut und Kraft für jeden neuen Tag
233.70,237.01,Wär' ich taub oder wär' ich stumm
237.32,240.76,Hätte ich all diese Lieder nie gesung'
241.16,248.10,"Hätte ich nicht mal gewusst, wie mir jetzt geschieht"
248.60,251.97,"Musik, du bist zurück"
252.58,255.94,Um mich mit Liebe aufzufüllen
256.30,264.56,Um meine Seele zu berühr'n
