start,end,text
18.28,22.09,La terre est ma plus jeune enfant
22.65,26.19,Je suis la mère de tous les océans
27.03,30.65,"Quand je m'énerve, deux ou trois volcans"
31.33,35.28,Un petit déluge et un tremblement
35.76,39.81,Je n'peux pas dire que la vie m'est dure
40.11,44.15,J'vais pas te faire une gueule d'atmosphère
45.58,49.75,"Je suis là, je suis la mère nature"
49.91,54.28,"J'en suis là, je suis la terre mature"
54.28,58.64,"Je n'suis pas de bon augure, c'est sûr"
58.64,64.70,J'en suis las de toute ta pourriture
66.32,69.86,J'ai bien envie de me couler un bain
70.66,74.16,"Prends ta combi', ton masque et tuba"
75.03,78.37,"Après, j'irai me dorer la pilule"
79.37,83.37,"Prends tes lunettes, ta casquette et ton pull"
83.77,87.33,Des fois que je change d'avis
88.11,92.60,J'prévois jamais toutes mes envies
93.56,97.79,"Je suis là, je suis la mère nature"
97.90,102.28,"J'en suis là, je suis la terre mature"
102.28,106.49,"Je n'suis pas de bon augure, c'est sûr"
106.62,113.07,J'en suis las de toute ta pourriture
114.34,117.84,J'aime trop la vie pour te laisser mourir
118.64,122.54,J'aime trop la mort pour te laisser sourire
123.05,126.44,Même si je te le laisse celui-là
127.37,131.73,Fais attention à celui qui va là
132.82,137.18,"Je suis là, je suis la mère nature"
137.18,141.44,"J'en suis là, je suis la terre mature"
141.58,145.94,"Je n'suis pas de bon augure, c'est sûr"
145.94,150.29,J'en suis las de toute ta pourriture
150.29,154.48,"Je suis là, je suis la mère mature"
154.65,158.88,"J'en suis là, j'essuie ta pourriture"
159.02,163.25,"J'y suis là, j'efface tes ratures"
163.38,169.89,Je suis las d'être ta mère nature
204.82,209.03,Je suis la mère nature
209.18,213.57,Tu es ma pourriture
213.57,217.74,Je suis la mère nature
217.92,222.68,Tu es ma pourriture
