start,end,text
11.55,15.02,Que dit-on d'une poignée de main ?
17.15,20.44,Laquelle vais-je serrer demain ?
22.73,26.11,"Jeu de mains, jeu de vilain"
28.38,32.60,Un dicton bien corollaire
33.96,37.48,Mieux vaut une rime populaire
39.60,43.17,"Jeu de mains, jeu de malin"
50.85,54.34,Que pense-t-on d'une poignée de main ?
56.42,59.86,Qu'elle indiffère souvent sans doute
62.02,65.31,Mais que rarement elle envoûte
67.66,71.03,Quelquefois rêche elle déroute
73.26,76.58,Quelquefois moite elle dégoûte
78.93,82.25,"J'ai deux mains, j'ai du dédain"
90.13,93.50,Cependant une poignée de main
95.71,99.11,Peut apporter par sa décence
101.31,104.85,Une plus noble concupiscence
106.91,110.44,Qu'un baiser qui d'évidence
112.55,116.17,Lui oppose son éloquence
118.21,121.54,"Jeu de mains, jeu de câlin"
129.41,133.06,Il arrive qu'une poignée de main
135.00,138.33,"Soit si chère, tellement espérée"
140.56,143.93,Intimement escomptée
146.25,150.11,Le passage d'un fluide discret
151.89,155.20,Communion inexpliquée
157.51,161.40,"Jeu de mains, visage carmin"
168.74,171.98,Prise de conscience qu'une prise de main
174.31,177.61,Apporte une futile confusion
179.89,183.55,Offre une furtive possession
185.58,189.72,Fait de cette approche tactile
191.19,194.55,Une confrontation subtile
196.82,200.29,"Jeu de mains, rapport humain"
