start,end,text
24.12,28.47,A menos de medio metro de ti
28.69,33.61,No encuentro las palabras y ya no sé qué decir
35.58,39.88,Largas ausencias de conversación
40.20,44.92,Cortes e interferencias en la comunicación
47.00,53.51,"Soy un orador silenciado, un políglota en el paro"
53.77,58.06,Censurado por las leyes de la soledad
58.40,67.50,Un profeta que ha perdido palabras en el cajón del olvido
67.73,72.67,Y quién sabe si algún día volverán
73.43,78.11,Y quién sabe si algún día volverán
99.82,104.40,"Tú, musa de mi desesperación"
104.55,109.47,Eres protagonista en una peli de acción
110.78,115.65,"Y yo, en opuesta contraposición"
115.91,120.94,Soy un monje budista en plena meditación
122.71,126.00,"Coge mi silencio, tómalo"
126.44,130.09,Yo te ofrezco la bebida del desierto
130.09,133.77,El desconcierto del mundo interior
134.14,137.60,Ya sé que es difícil para ti
137.89,141.68,"Pero no hay otro remedio, lo comprendo"
141.68,147.48,"Si te entiendo, ¿por qué tú no a mí?"
148.42,155.08,"Soy un orador silenciado, un políglota en el paro"
155.26,159.46,Censurado por las leyes de la soledad
159.87,168.96,Un profeta que ha perdido palabras en el cajón del olvido
169.17,172.22,Y quién sabe si algún día
172.68,179.26,"Soy un orador silenciado, un políglota en el paro"
179.51,183.78,Censurado por las leyes de la soledad
184.14,193.34,Un profeta que ha perdido palabras en el cajón del olvido
193.47,198.19,Y quién sabe si algún día volverán
199.15,203.94,Y quién sabe si algún día volverán
204.42,209.29,Y quién sabe si algún día volverán
