start,end,text
16.78,19.91,"Allez tourne, tourne autant"
21.89,24.57,Qu'il est possible de tourner (de tourner)
25.10,27.97,Comme si le sol était brûlant
29.70,32.53,Comme si tu voulais t'envoler (t'envoler)
33.21,36.23,"Allez danse, danse pour moi"
38.02,40.04,Danse à faire pâlir la nuit
41.38,44.17,Allez danse une dernière fois
46.22,49.01,Danse jusqu'au bout de l'envie
49.95,52.78,Y a pas que tes pas qui m'inspirent
54.43,56.68,"Belle, j'ai vu des démons dans tes hanches"
57.94,60.81,"Qui roulent, qui se cambrent et se penchent"
62.62,65.13,Comme un danger qui m'attire
66.04,68.99,"Allez bouge, bouge encore"
71.12,73.10,Bouge tant que tu le peux
74.53,77.20,"Serpente, ondule sans effort"
78.81,81.10,Y a personne qui ne le fait mieux
82.39,85.38,Allez allume les interdits
87.49,89.49,Rougis la lune dans tes danses
90.74,93.42,Dans tes reins glisse ma folie
95.35,98.48,Dans chacun de tes pas une transe
99.21,102.04,Y a pas que tes pas qui m'inspirent
103.67,105.92,"Belle, j'ai vu des démons dans tes hanches"
107.18,110.08,"Qui roulent, qui se cambrent et se penchent"
111.91,114.33,Comme un danger qui m'attire
117.69,120.59,Y a pas que tes pas qui m'inspirent
123.58,126.50,"Qui roulent, qui se cambrent et se penchent"
128.33,131.21,Comme un danger qui m'attire
140.09,141.86,"Surtout t'arrête pas, tu sais"
142.16,143.95,Que tout s'envolerait pour moi
144.59,146.01,T'es comme un soleil en été
146.01,147.64,Le monde tourne autour de toi
148.40,150.03,"Le jour, la pluie, les marais"
150.35,152.32,Les saisons de chaud ou de froid
152.78,154.24,"Les guerres, les paix, les traités"
154.24,158.77,"Y a le monde qui tourne, et puis toi"
164.86,167.80,Y a pas que tes pas qui m'inspirent
166.89,169.96,(Y a pas que tes pas qui m'inspirent)
169.34,171.58,"Belle, j'ai vu des démons dans tes hanches"
171.20,173.99,"(Belle, j'ai vu des démons dans tes hanches)"
172.81,175.68,"Qui roulent, qui se cambrent et se penchent"
174.76,177.56,"(Qui roulent, qui se cambrent et se penchent)"
177.56,180.20,Comme un danger qui m'attire
181.25,184.07,Y a pas que tes pas qui m'inspirent
185.73,188.00,"Belle, j'ai vu des démons dans tes hanches"
189.21,192.08,"Qui roulent, qui se cambrent et se penchent"
193.96,196.64,Comme un danger qui m'attire
