start,end,text
24.64,28.94,"Pluie, pluie d'entre deux saisons"
30.11,32.74,"S'aimer, perdre raison"
34.09,37.15,Partir tourner en rond
38.11,40.90,Partir tourner en rond
42.15,45.31,S'allonger sur le sable
46.13,49.01,Désir incontrôlable
50.10,53.17,Sensation ineffable
54.12,56.64,Sensation ineffable
56.64,62.15,"<nl> Ah, ah-ah, ah, ah </nl>"
64.61,70.37,"<nl> Ah, ah-ah, ah, ah </nl>"
80.64,84.82,Lire dans ton cœur grand ouvert
86.15,88.85,Briser mes liens de verre
90.15,92.76,"Mentir, prendre la mer"
94.10,96.66,Partir prendre la mer
96.66,101.02,Froid comme l'hiver loin de toi
102.12,104.88,Sourire avec effroi
106.12,109.12,Caresse du bout des doigts
110.11,112.60,Caresse du bout des doigts
112.60,117.53,"<nl> Ah, ah-ah, ah, ah </nl>"
120.60,126.07,"<nl> Ah, ah-ah, ah, ah </nl>"
136.61,140.67,"Luit, le soleil de ma vie"
142.10,144.84,Altérées mes envies
146.05,148.91,Un jour changer de vie
150.07,152.57,Un jour changer ma vie
152.69,157.18,"Seule, du haut de ta falaise"
158.10,160.81,"Tour de papier, en glaise"
162.16,165.22,Tu fermes la parenthèse
166.15,169.25,Tu fermes ma parenthèse
168.64,174.36,"<nl> Ah, ah-ah, ah, ah </nl>"
176.58,182.31,"<nl> Ah, ah-ah, ah, ah </nl>"
184.58,190.36,"<nl> Ah, ah-ah, ah, ah </nl>"
192.53,198.27,"<nl> Ah, ah-ah, ah, ah </nl>"
