start,end,text
51.20,55.67,"Now that I have found you, I'm okay"
57.17,62.17,But the people that surround you act strange
64.01,68.44,Will we ever fold up? Don't say
70.40,74.86,Maybe just a heads up is okay
89.56,94.20,"When I am in focus, I seem blind"
96.00,100.71,I can barely notice the time
102.40,107.62,Who can I believe in if not you?
108.83,113.20,You're the only reason I'm true
115.21,126.36,"<nl> Ah-ah, ah-ah, ah-ah, ah-ah </nl>"
128.04,139.20,"<nl> Ah-ah, ah-ah, ah-ah, ah-ah </nl>"
142.03,144.80,I've thought enough
145.05,147.91,Should turn this around
148.35,151.49,Is this a bluff?
151.49,154.30,Should really make a sound
154.77,157.40,Am I alright?
157.82,161.24,Am I steering out of sight?
162.49,167.82,"A<nl> h-ah-ah-ight, ah-ay </nl>"
172.84,177.87,"<nl> Ah-ah, ah-ah, ah-ah, ah-ah </nl>"
179.20,184.09,"<nl> Ah-ah, ah-ah, ah-ah, ah-ah </nl>"
185.11,190.13,"<nl> Ah-ah, ah-ah, ah-ah, ah-ah </nl>"
191.09,196.89,"<nl> Ooh-ooh-ooh, ooh-ooh </nl>"
197.64,204.09,"<nl> Ooh-ooh-ooh, ooh-ooh </nl>"
204.40,210.18,"<nl> Ooh-ooh-ooh, ooh-ooh </nl>"
210.40,216.84,"<nl> Ooh-ooh-ooh, ooh-ooh </nl>"
