start,end,text
10.18,18.67,Keep on working on your dreams and don't run away ( <nl> mmm-mmm-mmm-mmm </nl> )
19.52,27.78,Keep on following your dreams and don't go astray ( <nl> mmm-mmm-mmm-mmm </nl> )
28.68,32.07,Searching everywhere for a peace of mind
37.90,41.64,"It's already there, but we cannot find"
46.45,50.71,"I keep struggling for my life, but I'm a strong man today"
55.61,59.92,"I keep fighting for my rights, so much songs to play"
65.26,66.61,So many problems
67.53,69.40,So many close friends
69.90,71.69,And when it's gonna rain
72.18,73.44,How many gonna stand
74.43,75.71,So many problems
76.69,78.54,So many close friends
79.03,80.81,And when it's gonna rain
81.36,82.44,How many gonna stand
92.49,100.84,Keep on working on your dreams and don't run away ( <nl> mmm-mmm-mmm-mmm </nl> )
101.88,110.00,Keep on following your dreams and don't go astray ( <nl> mmm-mmm-mmm-mmm </nl> )
111.24,114.36,Sit back and watch what happen those days
120.17,124.41,How can I relax for the childrens of today
129.06,132.57,We're smart enough to find our own line
138.47,142.18,"We make art and stuff, but they just stay blind"
147.55,148.92,So many problems
149.82,151.72,So many close friends
152.19,153.98,And when it's gonna rain
154.49,155.62,How many gonna stand
156.73,158.05,So many problems
158.97,160.83,So many close friends
161.34,163.12,And when it's gonna rain
163.62,164.73,How many gonna stand
