start,end,text
21.39,24.54,Ver que otro día cae y que ya no veo esperanza
24.54,25.97,Y abunda el desastre
26.05,29.20,Solo tengo fe en que el sueño que profeso se cumpla
29.20,31.90,Y en el rincón más alejado oigan el retumbar
31.90,34.24,"De bombos, cajas y voces"
34.55,37.04,Llevando este mensaje de «querer es poder»
37.20,39.76,La magia del sonido nos hará comprender
39.87,42.45,Que no hay mañana sin esa ilusión por creer
42.54,44.98,No hay nada que detenga ya tus pasos (no)
45.22,49.01,"Los brazos en alto, el temor a un lado, amor como aliado (sí)"
49.22,51.31,Porque de ti depende que se cumpla
51.39,53.29,"Nublan las excusas, escucha"
53.54,55.78,Porque la vida no te dirá qué hacer
55.88,59.38,Perderte en las cenizas de un pasado es perder (el tiempo)
59.92,61.04,Aleja a los fantasmas
61.04,63.80,"Es momento de actuar, cree en ti primero"
63.88,65.55,No todo será siempre oscuridad
65.71,66.50,(Quiero y puedo)
66.56,69.17,"La vida es una sola, vuelve a comenzar, dilo"
69.38,71.87,"(Quiero y puedo, quiero y puedo)"
72.03,73.97,Quiero y voy a tenerlo
74.22,76.44,Eres el dueño de tu voluntad
76.37,77.22,(Quiero y puedo)
77.22,79.89,"La ley está en tus manos, intenta pensar, dilo"
80.06,82.50,"(Quiero y puedo, quiero y puedo)"
82.67,84.71,Quiero y me lo merezco
85.24,87.71,Merezco ser el dueño del camino y te digo
87.88,90.90,"Amigo, mi destino está esculpido en el monte del olvido"
90.99,93.71,"Desde que era un niño, he creído ser capaz"
93.71,95.68,De alcanzar lo que he querido y aquí sigo
95.94,98.39,"Camino bien erguido, a pesar de lo vivido"
98.56,101.07,Jamás me he rendido porque sé que hay mil motivos
101.25,103.75,Que nadie impedirá que alcancemos objetivos
103.89,106.38,"Por mucho que lo intenten, si he querido, yo he podido"
106.38,108.97,"Y he podido, porque la fuerza está conmigo"
109.04,112.09,"Aunque digan que yo no puedo llegar, yo les digo no"
112.27,113.94,Es el camino que yo elijo
114.22,117.32,Con altibajos que marcaron lo que fui y lo que soy
117.38,119.89,Hoy es mirar hacia adelante
119.94,123.15,"Jugar todas las cartas y arriesgar, después es tarde"
123.52,126.13,"Arrepentirse nunca vale, no todo es gris"
126.16,127.83,"Cuesta aceptarlo, pero hay que"
127.91,129.58,No todo será siempre oscuridad
129.69,130.49,(Quiero y puedo)
130.55,133.20,"La vida es una sola, vuelve a comenzar, dilo"
133.37,135.84,"(Quiero y puedo, quiero y puedo)"
136.03,137.97,Quiero y voy a tenerlo
138.22,140.50,Eres el dueño de tu voluntad
140.37,141.24,(Quiero y puedo)
141.24,143.87,"La ley está en tus manos, intenta pensar, dilo"
144.04,146.52,"(Quiero y puedo, quiero y puedo)"
146.67,148.72,Quiero y me lo merezco
149.05,151.04,Alejado de un trabajo habitual
151.04,152.82,Que ensombrezca mi energía vital
152.93,155.05,Quiero hacer rap para evitar que se mueran
155.05,157.54,Mis ganas de gritar cuando todo esta mal
157.54,159.75,Hay que escapar y regresar al equilibrio
159.89,162.44,Buscar un nuevo brillo y la ilusión de cuando niños
162.55,165.09,Las ganas de vivir y de aprender que ya perdimos
165.22,167.78,"Yo lo hago con pasión, encerrada entre estribillos"
167.89,170.34,Tú encuentra tu lugar en este mundo en que vivimos
170.34,172.95,Porque no hay quien me diga lo que tengo que hacer
172.95,175.69,Si yo he querido crecer y me olvidado del ayer
175.93,177.60,El rap es el camino que he elegido
177.60,179.57,"Amateur, para hacerte perder"
179.57,180.90,El miedo a lo que hay que ver
181.02,183.61,"Que la vida es tan corta, así que vamos, despierta"
183.61,186.29,"Olvida lo que no importa, invierte el tiempo y la fuerza"
186.29,188.85,En todo lo que te aporta y te merezca la pena
189.05,191.65,Lo que te haga feliz y te recorra las venas
191.87,193.60,No todo será siempre oscuridad
193.71,194.48,(Quiero y puedo)
194.55,197.21,"La vida es una sola, vuelve a comenzar, dilo"
197.38,199.83,"(Quiero y puedo, quiero y puedo)"
200.02,201.97,Quiero y voy a tenerlo
202.18,204.38,Eres el dueño de tu voluntad
204.38,205.13,(Quiero y puedo)
205.21,207.94,"La ley está en tus manos, intenta pensar, dilo"
208.07,210.53,"(Quiero y puedo, quiero y puedo)"
210.69,212.85,Quiero y me lo merezco
213.19,214.96,No todo será siempre oscuridad
214.96,215.89,(Quiero y puedo)
215.89,218.55,"La vida es una sola, vuelve a comenzar, dilo"
218.72,221.17,"(Quiero y puedo, quiero y puedo)"
221.33,223.29,Quiero y voy a tenerlo
223.55,225.71,Eres el dueño de tu voluntad
225.71,226.55,(Quiero y puedo)
226.55,229.21,"La ley está en tus manos, intenta pensar, dilo"
229.38,231.86,"(Quiero y puedo, quiero y puedo)"
232.02,234.36,Quiero y me lo merezco
