start,end,text
40.61,41.90,I got a lot on my mind
41.90,43.23,And all of the time
43.23,44.89,Been tryna do right
45.65,46.83,I may have lost the light
46.83,48.17,But I'm keeping it tight
48.17,50.23,"Never give up the fight, no"
50.72,52.45,When my life is a wreck
53.18,55.11,(When my life is a wreck)
55.55,57.97,Got to keep it all in check
57.97,59.77,(I keep it all in check)
70.16,71.58,Even in the darkest days
71.64,72.85,Got a trail to blaze
72.85,74.51,Gonna stick to my ways
74.93,76.53,I used to be caught in a phase
76.53,77.81,Where life was a maze
77.81,79.64,Until I saw the sun's rays
80.40,82.33,When your life is a wreck
82.20,84.45,(Life is a wreck)
85.13,89.98,"You got to take the first step, yeah"
89.98,92.36,( <nl> Whoa-oh-oh-oh-oh </nl> )
92.16,94.45,Paddle on through the waves now
94.91,97.09,( <nl> Whoa-oh-oh-oh-oh </nl> )
97.09,99.41,Gonna take me to that place
99.80,102.04,( <nl> Whoa-oh-oh-oh-oh </nl> )
102.04,104.35,Find that fire inside
104.80,107.02,( <nl> Whoa-oh-oh-oh-oh </nl> )
107.02,110.07,It's a fate that you decide
129.80,133.18,When I feel like I'm losing control
134.75,138.87,Gotta reach within my soul
139.67,143.43,"And if you're ever feeling low, yeah"
144.56,149.35,"You gotta take the first step and go, yeah"
149.60,151.47,Take that first step to the right
151.99,153.85,Got to find what's inside
154.61,159.23,"Before we run of time, run out of time, run out of time"
159.23,161.54,( <nl> Whoa-oh-oh-oh-oh </nl> )
161.44,163.74,Paddle on through the waves now
164.20,166.37,( <nl> Whoa-oh-oh-oh-oh </nl> )
166.37,168.68,Gonna take me to that place
169.13,171.31,( <nl> Whoa-oh-oh-oh-oh </nl> )
171.31,173.59,Find that fire inside
174.14,176.35,( <nl> Whoa-oh-oh-oh-oh </nl> )
176.28,180.82,It's a fate that you decide
181.83,186.57,(That you decide)
238.42,240.78,( <nl> Whoa-oh-oh-oh-oh </nl> )
240.78,243.38,"I'm paddling on, I'm paddling strong"
243.38,245.34,( <nl> Whoa-oh-oh-oh-oh </nl> )
245.47,248.33,"Find that fire, find that fire"
248.33,250.74,( <nl> Whoa-oh-oh-oh-oh </nl> )
250.74,253.59,"I'm paddling on, I'm paddling strong"
253.27,255.42,( <nl> Whoa-oh-oh-oh-oh </nl> )
255.35,259.46,"Find that fire, find that fire"
261.45,264.98,Find that fire
266.44,270.45,Find that fire
271.42,274.28,Find that fire
