start,end,text
14.43,17.67,Wenn die Schneemänner im Garten wachsen
17.67,20.91,Und die Eiszapfen vom Dach runterkraxen
20.91,24.17,Wenn die Eiskristalle an der Scheibe haften
24.60,27.44,Kann ich die Kälte meist nicht verkraften
27.44,31.48,Und dann lieg ich krank im Bett
33.83,37.36,Wenn meine Stirn dann glüht und mein Atem rasselt
37.53,40.52,Und der Doktor kommt und lauter Blödsinn quasselt
40.52,43.57,Rinnt der Schnupfen aus dem Nasenloch
44.04,46.74,"Die Taschentücher sind leer, jedoch"
46.82,51.30,Dann zieh' ich den Schnodder hoch
53.56,56.83,"Ja, der Schnodderdodder und der Rotzroboter"
56.83,60.08,Und der Rasselquassel und das schlimme Schlamassel
60.29,63.23,Und der fiese Keim in dem gelben Schleim
63.38,66.55,Und die Spitzenhitze und das ganze Geschwitze
66.66,70.81,Und ich zieh' den Schnodder hoch
73.15,76.32,"In der Nacht, da kann ich ganz schlecht schlafen"
76.45,79.69,Weil mich verstopfte Nasenlöcher strafen
79.95,82.73,Der Schlafanzug ist vollgerotzt
82.96,85.92,Auf die Decke hab ich auch schon gekotzt
86.04,90.29,Und ich zieh' den Schnodder hoch
92.75,95.84,"Wenns dann schlimmer wird, ist meine Stimme weg"
96.33,98.95,"Die Beine schmerzen, wenn ich sie streck'"
99.11,102.34,"Wenn ich husten muss, spuck ich gelben Schleim"
102.73,105.71,Zwei Wochen lang bleib ich daheim
105.71,109.77,Und ich zieh' den Schnodder hoch
112.26,115.65,"Ja, der Schnodderdodder und der Rotzroboter"
115.65,118.86,Und der Rasselquassel und das schlimme Schlamassel
119.13,122.07,Der fiese Keim in dem gelben Schleim
122.36,125.43,Die Spitzenhitze und das ganze Geschwitze
125.43,129.34,Und ich zieh' den Schnodder hoch
131.96,134.97,"Wenn ich niesen muss, kriegst du auch was ab"
135.09,138.23,"Von dem gelben Schleim, dann machst du schlapp"
138.69,141.80,Schon sind wir zu zweit und bohren in der Nase
142.03,145.00,Und rotzen ins Hemd bis zur Ekstase
145.00,149.08,Und wir zieh'n den Schnodder hoch
151.44,154.81,"Ja, der Schnodderdodder und der Rotzroboter"
154.97,158.07,Und der Rasselquassel und das schlimme Schlamassel
158.27,161.18,Und der fiese Keim in dem gelben Schleim
161.54,164.52,Und die Spitzenhitze und das ganze Geschwitze
164.64,168.82,Und ich zieh den Schnodder hoch
171.02,175.44,"Ja, ich zieh den Schnodder hoch"
177.51,182.48,"Ja, ich zieh den Schnodder hoch"
184.09,188.71,"Ja, ich zieh den Schnodder hoch"
