start,end,text
43.68,45.61,Wir stehn auf der Stelle
47.48,50.96,"Die See ist ruhig, bewegt sich nicht"
51.32,54.66,Wir stehn auf der Stelle
55.25,58.83,Und meilenweit kein Land in Sicht
59.97,63.38,Die Sonne steht am Horizont
63.38,66.19,Aschfahl und wärmt nicht mehr
67.65,70.97,Der Ozean ist kalt und tief
71.22,73.89,Und der Proviant ist leer
74.43,76.28,Wir stehn auf der Stelle
78.20,81.55,Und keiner weiß wie's weiter geht
82.05,85.38,Wir stehn auf der Stelle
85.91,89.28,"Wer weiß, wohin der Wind uns weht"
125.31,128.59,Die Nacht fällt wie ein sanftes Tuch
129.11,131.75,Und hüllt meine Träume ein
132.75,135.88,"Die Segel, sie füllen sich"
136.45,139.25,Denn der Wind bläßt voll hinein
140.64,143.51,"Die Wogen, sie funkeln"
144.39,147.05,Und Sterne fall'n vom Firmament
148.30,151.61,Der Mond hängt wie ein nasser Sack
152.10,154.62,Der meine Sehnsucht kennt
155.02,156.97,Wir stehn auf der Stelle
159.79,162.35,Wir geben nichts mehr von uns her
163.64,167.07,"Mein Schiff, das ist in voller Fahrt"
167.49,172.37,Und vor uns liegt das Meer
226.39,228.10,"Glaub, ich geh jetzt in die Badewanne, kommst du mit?"
228.21,230.47,"Vielleicht später, muss noch Kartoffeln schälen"
