start,end,text
19.01,22.31,Reuniones de trabajo
22.84,24.94,Una comida familiar
27.15,30.24,Discusiones de pareja
30.95,33.92,La última peli de Star Wars (Star Wars)
35.25,38.62,La tortilla francesa de anoche
39.36,41.44,El pelado que te han hecho
43.41,46.53,El nombre de tu perro
47.24,49.51,Por qué te vas a otra ciudad
51.06,54.61,Todo sería mejor si pudiera
54.61,58.92,Decir lo que siento sin miedo
59.18,62.76,Todo sería mejor si pudieras
62.76,67.20,Decir lo que sientes sin miedo
84.04,87.74,La carcasa de tu iPhone
88.19,90.00,Ese cuadro en la pared
92.24,95.53,La camisa que llevas puesta
96.03,98.13,Cuánto te quiero en realidad
100.38,103.74,Opiniones malcriadas
104.44,106.36,Otro bulo que estalló
108.50,111.57,Comentarios del presidente
112.08,114.56,Mi condición sexual
116.12,119.71,Todo sería mejor si pudiera
119.71,124.03,Decir lo que pienso sin miedo
124.29,127.83,Todo sería mejor si pudieras
127.83,132.24,Decir lo que piensas sin miedo
148.69,153.42,No soy capaz de imaginar
156.77,163.35,Cómo explotaría el mundo si solo contamos la verdad
164.94,169.85,No soy capaz de imaginar
173.03,179.66,Cómo explotará mi cerebro si solo me cuentan la verdad
181.19,184.80,Todo sería mejor si pudiera
184.80,189.08,Decir lo que siento sin miedo
189.35,192.93,Todo sería mejor si pudieras
192.93,197.57,Decir lo que sientes sin miedo
199.95,201.83,Sin miedo
205.14,205.73,<nl> (Ah) </nl>
208.12,209.99,Sin miedo
