start,end,text
10.40,12.65,"Honey, I told you something"
13.01,15.38,Sorry I didn't hear
15.97,17.85,Maybe there was something
17.85,20.92,"Yeah-yeah-yeah, stuck in your ear"
21.54,26.85,"Why is it every time you say you do, you don't?"
27.04,32.05,Maybe I just thought that you were talking on the phone
33.97,36.82,"Honey, you're looking lovely tonight"
36.63,39.37,"Sorry, you're wastin' time"
39.50,42.23,"Baby, this ain't your lucky night"
41.98,44.72,"Well, tryin' ain't a crime"
45.08,50.02,"Why is it every time I'd like to do, you don't?"
50.64,55.33,Maybe you could try a little romance and a comb
55.33,58.57,Let's go back in time
58.98,61.72,Way back when we were
61.72,65.51,"<nl> La-la-la-la-la, la, la-la </nl>"
66.44,69.21,Now it's married life
69.21,72.81,"And a daily strife, to be"
72.81,78.32,"<nl> La-la-la-la-la, la-la-la-la-la, la-la </nl>"
78.32,82.15,"<nl> La-la-la-la-la, la, la-la </nl>"
86.68,89.15,"Honey, you're getting older"
89.01,91.55,"Yeah, and you're still 29"
92.08,94.57,And maybe things are colder
94.80,97.25,"But honey, still you're mine"
97.76,100.12,Guess it's easy to forget
100.40,102.60,We're more than man and wife
103.30,107.84,Could it be the la-la magic keeping love alive?
108.00,111.24,Let's go back in time
111.67,114.29,Way back when we were
114.43,118.10,"<nl> La-la-la-la-la, la, la-la </nl>"
119.08,122.24,Back when you and I
122.59,125.48,Still had time to be
125.48,131.01,"<nl> La-la-la-la-la, la-la-la-la-la, la-la </nl>"
131.04,134.64,"<nl> La-la-la-la-la, la, la-la </nl>"
157.95,161.27,Let's go back in time
161.60,163.54,Way back when
163.54,164.35,We were
164.35,168.09,"<nl> La-la-la-la-la, la, la-la </nl>"
169.04,172.31,Back when you and I
172.54,175.46,Still had time to be
175.46,177.36,<nl> La-la-la-la-la </nl>
177.36,180.67,Let's go back in time
181.00,183.78,Way back when we were
183.78,187.40,"<nl> La-la-la-la-la, la, la-la </nl>"
188.46,191.18,Now it's married life
191.18,194.86,"Still we have to try, to be"
194.86,200.40,"<nl> La-la-la-la-la, la-la-la-la-la, la-la </nl>"
200.40,203.92,"<nl> La-la-la-la-la, la, la-la </nl>"
