start,end,text
1.86,3.50,Qu'est-ce que vous aimez faire dans l'existence ?
5.26,8.09,"Et si ça vous était donné, que feriez-vous exactement ?"
9.29,11.36,Comment exploiter le meilleur de soi-même ?
11.71,13.55,Dissiper la brume qui nous éloigne du soleil
13.65,15.83,"Quand j'rêve de grandeur, d'atteindre les sommets"
15.83,18.27,J'm'éloigne du glandeur qui cherche son sommeil
18.52,20.71,"Je ne vise pas les sommes, juste être en unité"
20.98,22.98,J'humilie les illuminés en manque d'humilité
23.27,25.48,"Une kalash' à un militant, le voilà militaire"
25.51,28.05,Du cash à un prolo réveille l'instinct milliardaire (milliardaire)
27.50,29.49,"Quand je ferme les yeux, c'est pour y voir plus clair"
29.85,31.84,"Ma tête dans les cieux, ma conscience sous terre"
31.84,34.26,"T'as beau pousser des haltères, tu finiras poussière"
34.26,36.51,Même en touchant l'pactole ça reste du cash-misère
36.66,38.94,C'est pas parce que la came isole qu'on marche en solitaire
39.08,41.31,"C'est qu'ils ont brouillé les codes, glissage d'ogive nucléaire"
41.37,43.90,"Civilisation séculaire, la nôtre est éphémère"
43.90,45.95,"Ressources limitées, pouvoir bancaire, force unité"
46.23,50.51,"Élites infectées, dessous de table, élites infectées, délit d'initié"
49.97,52.25,Milliardaire (prolétaire)
59.06,61.47,Milliardaire (prolétaire)
63.65,66.04,Milliardaire (prolétaire)
68.23,70.41,Milliardaire (prolétaire)
81.40,84.65,"Terre, terre, terre, terre"
87.40,89.70,"Mon art est vital, dans ma bulle je ressens moins les balles"
89.70,92.30,Dehors le bruit des larmes m'éloigne de mon âme
91.77,93.90,"J'aime le son du calme, remballe tes palabres"
93.90,96.32,Toute façon j'sais bien qu't'es pas là quand arrive le drame
96.32,98.61,"Sonne le glas des périodes amicales, j'suis qu'un animal"
98.61,101.11,"Même le cou serré, pas près d'obtempérer quel qu'en soit le prix"
101.11,105.75,"Chaque rime, un coup de lame, une façon d'soigner ma déprime (déprime, déprime, déprime)"
105.75,107.96,"Rythme de couche-tard, décalé d'un monde risible"
107.96,110.18,"Les borderlines sont prévisibles, les religieux sous résine"
110.18,112.47,"Les seuls partages sur des réseaux, tes amis sont-ils tes rivaux ?"
112.47,114.68,La machine a plus de raison que l'homme addict au raisin
114.68,116.89,"Le navire à la dérive, j'vise mes rêves vers l'horizon"
116.89,119.20,"J'cultive les fruits de ma passion, hérétique à contre-courant"
119.20,121.61,"Préoccupé de l'avenir des miens, pas par celui de ma nation"
121.29,125.53,"J'compte sur ma motivation pour garantir mon quotidien ('tidien, 'tidien, 'tidien)"
151.50,154.14,"À votre avis, qu'est-ce que les gens gardent de vous comme souvenir ?"
