start,end,text
0.54,11.17,"Hola, ¿qué quiero decir? Que muchas gracias por todo lo que hemos pasado, eh, te quiero mucho"
12.55,14.93,"Hola, ¿qué tal? Espero que estés bien"
15.17,18.13,No dejo de pensar en ti y espero que tú también
18.33,21.20,"Yo estoy muy bien, no niego que un poco triste"
21.35,24.25,No saco de mi cabeza lo que tú me prometiste
24.42,27.32,"Si algo sentiste, a veces me pongo a pensar"
27.53,30.27,Si verdaderamente conmigo querías estar
30.41,33.42,Pero no vo' a negar que todavía te quiero
33.68,36.52,"Aunque ha pasado tiempo, en mis brazos te espero"
36.77,39.64,Pues hay muchos recuerdos que yo tengo en mi mente
39.64,42.66,Mis palabras mienten si dicen que nada sienten
42.92,45.89,Presente en tu vida para siempre quisiera estar
46.18,49.02,Juntos caminar y a tu lado despertar
50.06,53.06,Y no puedo soportarlo más
54.07,58.88,"(No puedo es-, no) no puedo estar sin ti"
58.88,64.89,Cuando te vi por primera vez (te vi por primera vez)
65.03,70.55,No pensé que me rendiría a tus pies <nl> (ah-ah-ah-ah) </nl>
71.21,74.00,Y aquí estoy recordando y no te dejo de pensar
74.29,77.09,No te logro olvidar y te quiero besar
77.33,82.99,Volver a recordar lo que fuimos tú y yo <nl> (ah-ah-ah-ah) </nl>
83.53,86.31,Y aquí estoy recordando y no te dejo de pensar
86.58,89.37,No te logro olvidar y te quiero besar
89.64,95.37,Volver a recordar lo que fuimos tú y yo (lo que fuimos tú y yo)
95.80,98.11,Ningún día yo te dejo de pensar
98.31,101.15,"Como el tatuaje en mi piel, en mi vida vas a estar"
101.36,104.32,Quiero llegar a ser el hombre que tú quieres
104.66,107.28,"Dime qué más hago, tienes a un hombre que se muere"
107.53,110.47,"Por darte amor, respeto y toda' esas cosas"
110.62,113.50,Alguien que sin pensarlo te daría miles de rosas
113.76,116.56,"Eres hermosa, un recuerdo que me mata"
116.78,119.57,Hiciste algo en mi vida que a tu amor me ata
119.67,121.39,"Quiero volver a vivir, volver a sentir"
121.39,123.65,"Juntos sonreír, si un error cometí lo quiero corregir"
123.65,125.22,"Contigo compartir, el amor descubrir"
125.22,126.70,No voy a fingir que me muero por ti
126.70,128.29,"Y a tu lado reír, hasta el día de morir"
128.29,129.74,"No te voy a mentir, un amor para ti"
129.74,132.07,"Yo te voy a elegir, yo te voy a seguir, nunca me voy a ir"
132.07,133.67,Para que te des cuenta que te amo a ti
133.89,136.86,"Y sabes bien que me muero por ti (ti, ti, ti)"
136.97,138.45,"(Ey, que me muero por ti)"
138.26,141.96,No puedo estar sin ti
141.96,147.97,Cuando te vi por primera vez (te vi por primera vez)
148.00,153.62,No pensé que me rendiría a tus pies <nl> (ah-ah-ah-ah) </nl>
154.26,157.18,Y aquí estoy recordando y no te dejo de pensar
157.34,160.14,No te logro olvidar y te quiero besar
160.41,166.15,Volver a recordar lo que fuimos tú y yo <nl> (ah-ah-ah-ah) </nl>
164.30,166.15,Lo que fuimos tú y yo
166.58,169.36,Y aquí estoy recordando y no te dejo de pensar
169.64,172.47,No te logro olvidar y te quiero besar
172.72,178.48,Volver a recordar lo que fuimos tú y yo (lo que fuimos tú y yo)
