start,end,text
54.67,58.32,The sun is fading under blood-red sky
58.32,62.57,The reign of day is over
62.90,66.25,Night soon will break free
66.73,70.10,They wake in the eerie glow of moonlight
70.28,74.21,Forgotten souls beyond our sight
75.02,77.01,World that's gone forever
77.01,79.57,"Long ago, lost in their eyes"
79.77,82.81,That shine with mystery
82.94,85.05,Last remaining shadows
85.05,86.28,Of lost time
86.46,90.28,Whisper in the moonlight
92.64,95.97,Surprised you're waking in the morning
96.26,100.47,Can't understand your feelings
100.78,104.39,And where'd you get these thoughts
104.70,108.19,Inside your mind the voice is calling
108.48,112.19,For the night to rise at your side
112.99,115.00,World that's gone forever
115.00,117.53,"Long ago, lost in their eyes"
117.76,120.82,That shine with mystery
121.02,123.04,Last remaining shadows
123.04,124.29,Of lost time
124.48,128.24,Whisper in the moonlight
128.37,130.72,So hear their voice
130.97,132.99,Sharing their yearning
132.99,136.55,Gift they're giving to you
136.95,138.67,Hear their voice
138.89,140.98,Sharing their memories
140.98,145.68,Sacred secrets from past time
177.50,179.21,(World that's gone forever)
179.30,181.57,"(Long ago, lost in their eyes)"
181.76,184.78,That shine with mystery
184.78,187.05,Last remaining shadows
187.05,188.23,Of lost time
188.41,192.30,Whisper in the moonlight
192.54,194.67,So hear their voice
194.85,196.99,Sharing their yearning
196.99,200.47,Gift they're giving to you
201.07,202.70,Hear their voice
202.86,204.72,Sharing their memories
204.72,208.53,Sacred secrets from past
208.92,210.82,Hear their voice
210.82,212.72,Sharing their yearning
213.05,216.56,Gift they're giving to you
216.94,226.51,Hear their voice
218.88,220.78,(Sharing their memories)
220.78,225.65,(Sacred secrets from past time)
