start,end,text
0.35,2.60,A time of day
5.97,11.01,"I've been doin' nothing but drinkin' and thinking, yeah-yeah-yeah"
12.41,14.82,"Aw, since you been away"
15.54,17.87,"Oh, come on"
18.14,22.65,( <nl> Ooh-ooh </nl> ) I don't think that I'm coming back
22.20,29.92,"( <nl> Ooh-ooh-ooh </nl> ) Boy, I told you I'm done with that (come on home, babe)"
29.93,33.59,( <nl> Ooh-ooh </nl> ) You think you can do me so wrong
33.88,39.90,"( <nl> Ooh-ooh-ooh </nl> ) I'm not the one, no"
41.17,44.42,"Back in high school (yeah, yeah)"
42.25,43.21,Under the trees
43.22,44.36,We used to mess around
44.36,45.00,I'd feel you down
45.00,48.03,"Right there in the streets, damn (yeah)"
46.85,48.20,"Those were the days, baby"
48.47,49.71,Now you barely look at me
49.71,51.25,Like you was never my lady
51.25,53.26,"What has this come to be, shit (come on home, babe)"
53.44,54.83,"I guess we grown apart (yeah, yeah)"
55.12,57.62,Went and separated but you still up in my heart
57.85,59.34,And that will always be the case
59.34,60.52,You were my first one
60.81,62.19,No matter how the fuck we split
62.19,65.34,"I wish you nothin' but love (come on home, babe)"
63.65,64.27,But now I'm
64.46,67.49,"Doin' these shows and I'm makin' this money (yeah, yeah)"
66.61,68.24,I'm never stoppin' for these hoes
68.24,71.41,All want me for money and shit (yeah)
70.41,72.99,Got these new friends on deck when I cash in my checks
72.99,73.93,Late up on they rent
73.93,77.26,"Feelin' my heart poppin' outta my chest (come on home, babe)"
76.29,78.08,"Ain't no slippin' in this game though (yeah, yeah)"
78.29,81.08,They take advantage just to use you for the clout too
81.23,82.74,That's why I keep my circle small
82.89,84.38,And I keep my friends close
84.52,88.39,"Rememberin' to watch my enemies when they come through (come on, babe)"
88.14,88.78,Shit
88.39,92.68,( <nl> Ooh-ooh </nl> ) I don't think that I'm coming back
92.44,100.03,"( <nl> Ooh-ooh-ooh </nl> ) Boy, I told you I'm done with that (come on home, babe)"
100.09,103.75,( <nl> Ooh-ooh </nl> ) You think you can do me so wrong
104.11,106.63,"( <nl> Ooh-ooh-ooh </nl> ) I'm not the one, no"
107.04,111.84,I'm not the one (come on home)
111.25,112.53,I feelin' blessed now
112.72,114.85,I'm finally able to support my momma too
115.25,116.36,No more double shifts
116.57,118.14,"No more stressin' bout the rent, shit"
118.17,119.56,Complainin' about the hunger and
119.62,120.94,Goin' to bed starvin'
120.94,123.65,"And it's all thanks to you, momma (come on home, babe)"
123.15,125.58,If it wasn't all for you believin' in me
125.79,128.12,I'd probably be in jail doin' two to three
128.43,130.02,You raised me up all on your own
130.02,131.48,Grew up without my poppa
131.48,132.73,Hey you put up with my shit
132.73,137.51,"For that you know I'm grateful (come on home, babe, yeah)"
134.80,137.51,Blessed with the family and friends that I have
137.78,140.41,Got a loving cousin know I got you 'till the end
140.61,141.91,Shout out to my crew
142.17,144.78,"Adam and Dan, Angelo, Amin and Mack"
144.92,147.06,"You know I got your backs (come on home, babe)"
146.45,149.41,"Shit, we reppin' Ottawa, Ontario (yeah, yeah)"
148.94,151.85,We up at the Parliament jammin' out all on the radio
151.85,152.94,I keep my circle small
153.12,154.54,And I rep my fam' too
154.75,157.74,Rememberin' to watch our enemies when they comin' through
158.45,159.26,Shit
158.75,163.05,(Ooh-ooh) I don't think that I'm coming back
162.64,170.26,"(Ooh-ooh-ooh) Boy, I told you I'm done with that (come on home, babe)"
170.28,173.91,(Ooh-ooh) You think you can do me so wrong
174.31,176.83,"(Ooh-ooh-ooh) I'm not the one, no"
177.26,180.61,I'm not the one
180.61,182.07,"(Oh, babe)"
182.07,186.27,( <nl> Ooh-ooh </nl> ) I don't think that I'm coming back
184.53,187.21,"(I come around no more like that, baby)"
186.10,191.85,"( <nl> Ooh-ooh-ooh </nl> ) Boy, I told you I'm done with that"
190.43,193.38,"(Done with all that shit, baby, yeah)"
193.77,197.35,( <nl> Ooh-ooh </nl> ) You think you can do me so wrong
196.32,198.16,(Do me so wrong like)
197.81,200.04,"( <nl> Ooh-ooh-ooh </nl> ) I'm not the one, no"
199.20,200.32,"(Not the one, baby)"
200.72,203.64,I'm not the one
202.17,203.49,"(Not the one, baby)"
205.33,213.05,"<nl> Ooh-ooh, ooh-ooh-ooh </nl>"
215.76,217.24,Come on home
218.00,220.52,"Yeah, yeah-yeah"
221.93,223.80,Yeah
227.36,229.56,"Come on home, baby"
229.64,231.92,Yeah-yeah
233.68,235.60,Yeah
239.08,239.56,Come on
