start,end,text
16.87,20.50,"Je sais que toute ma vie, je n'oublierai jamais"
21.03,24.59,Ce bel après-midi au soleil de janvier
25.16,28.70,C'était tellement génial que j'en tremblote encore
29.21,32.84,Je suis rentré tout sale et maintenant je m'endors
33.32,36.93,C'est vraiment fatiguant de courir tout le jour
37.40,40.99,Mais qu'est-ce que c'est marrant de faire le gros balourd
41.50,45.25,J'ai sauté dans les feuilles et j'ai mangé des pierres
45.59,49.68,Chassé les écureuils et labouré la terre
49.93,53.27,Je vis pour lui
54.03,56.99,Mon seigneur chéri
57.37,59.16,Mon maître-ami
76.40,80.23,J'ai flairé des chenilles et broyé des bâtons
80.50,84.30,Mordillé les chevilles d'un vilain vieux mouton
84.56,88.16,"Je suis le plus heureux, pour ça je remercie"
88.69,92.54,"Mon vénérable Dieu, mon maître à moi chéri"
92.80,96.32,"Il est si formidable, je l'aime plus que ma vie"
96.89,100.46,"Je veux être admirable, parfois je réussis"
100.94,104.78,À gagner une caresse entre mes deux oreilles
105.11,109.40,"Même si je tire en laisse, j'écoute les bons conseils"
109.40,112.49,Je vis pour lui
113.53,115.93,Mon seigneur chéri
116.88,118.25,Mon maître-ami
135.86,139.51,"Ma maîtresse est gentille, je sais que dans une heure"
140.01,143.81,"Je jouirai des papilles, la truffe dans mon bonheur"
144.08,147.61,Elle sait très bien comment me faire danser du cul
148.13,151.87,Le soir en me versant de raffinés menus
152.29,155.80,Croquettes croustillantes au délicat fumet
156.38,159.81,Subtils parfums de fiente et viande faisandée
160.45,164.06,"Après ce doux festin, j'irai me promener"
164.57,168.26,Et m'enivrer enfin des urines du quartier
168.89,171.65,Je vis pour lui
173.02,175.62,Mon seigneur chéri
176.39,177.67,Mon maître-ami
195.36,198.94,Un jour je serai sage au moins toute une journée
199.46,202.98,Pour un bout de fromage je peux être parfait
203.56,207.17,"Quand j'étais tout petit, il fallait que je bouffe"
207.72,211.51,J'faisais des confettis de toutes les pantoufles
211.79,215.31,"Maintenant je suis grand, j'ai trois ans et deux mois"
215.86,219.48,"Je protège mes parents, c'est un peu moi le roi"
219.93,223.51,"Je suis le plus heureux, pour ça je remercie"
224.08,227.93,"Mon vénérable Dieu, mon maître à moi chéri"
228.40,231.19,Je vis pour lui
232.54,235.16,Mon seigneur chéri
235.86,236.98,Mon maître-ami
