start,end,text
19.20,22.21,Vente
22.64,27.12,Conmigo es diferente
27.46,30.48,Como agua fresca que calma la fiebre
30.76,33.02,Hasta las nubes hoy mienten
33.22,35.15,Y te explota en la cabeza
35.15,37.51,Una tremenda tormenta
38.41,41.43,Fuerte
41.87,46.27,Abrázame muy fuerte
46.69,48.49,"Mi amor, nunca me sueltes"
48.49,51.80,"Ay, qué extraña es tu manera de quererme"
52.48,56.97,"Ay, qué lindo que sería estar con vos y conversar"
57.30,60.61,De cosas
61.11,65.75,No sé de cuales cosas
65.88,69.89,Cosas poco importantes y es que es muy duro olvidarte
70.21,73.72,No me digas que aún no nos veremos
73.72,76.19,Y tendremos que esperar
76.51,79.86,Más tiempo
80.25,84.67,Decime cuánto tiempo
85.02,87.94,Si pareciera que no hubiera nada
88.39,90.54,"Y, haga lo que haga"
90.77,92.89,No paro de extrañarte
92.89,96.01,Y de perderte cada día más
96.79,98.28,Y el amor es así
98.99,100.67,Cuando lo dejamos ir
101.09,103.10,Se resiente feo con tu alma
103.40,105.71,Y ya no te deja ni dormir
106.15,107.85,Y es como una venganza
108.22,110.23,Por si el vacío no te alcanza
110.04,112.57,Y te deja de recuerdo en la guitarra
112.66,115.06,Una recontra puta canción
115.20,118.21,Vieja
118.65,123.15,"Viejas canciones, viejas"
123.48,126.21,Sonrisas que se alejan de mi cara
126.88,128.82,Y la angustia hoy me apuñala
129.17,131.27,Y mi rostro ya refleja
131.27,134.26,Chotos miles años de dolor
134.40,137.48,Canas
137.91,142.28,Se vino el carmelazo
142.66,145.54,No me banco el fracaso de perderte
145.95,148.06,Y tal vez fue para siempre
148.37,150.26,Aquello que hoy me tiene
150.26,153.52,Hundido en esta seca soledad
154.22,155.91,Y quizás en ese lugar
156.60,158.18,Nos volvamos a encontrar
158.60,160.46,Quizás no sea tan malo
160.46,161.59,Si al final los dos
161.72,163.37,Nos la remil buscamos
163.80,165.40,Quiero prepararme mejor
165.89,167.89,A la altura de la ocasión
168.20,169.70,Solo un rato más de amor
169.80,172.26,"Para respirarte, corazón"
192.01,194.19,"Vente, que conmigo es diferente"
194.59,196.64,"Siente conmigo, amor y abrázame fuerte"
196.80,198.90,Y no pidamos perdón
199.33,201.06,Por todo lo que nos pasó
201.39,203.74,Que ahora ya no es importante
203.99,206.10,Mucho más peor fue tratar de olvidarte
206.10,207.50,Qué tremendo que se siente
207.90,210.64,"Sensaciones tan crocantes, tan crujientes"
210.78,213.01,"Y, de repente, estoy dado vuelta"
213.01,214.69,Como un condón o media
214.81,216.17,Como un coreano en la feria
216.17,217.84,Como un morrón en la leche
218.40,220.43,Como Navidad el 15 de septiembre
220.43,222.52,"Y, al fin, me resigno"
223.06,224.95,Y veo que no todo es tan maligno
225.35,226.47,Como bola sin manija
226.47,228.66,"Y mi apnea no me ayuda, esa es fija"
228.89,230.89,Fafarulo Calabaza está en la pista
234.30,234.97,En la pista
238.50,240.35,Fafarulo Calabaza está en la pista
243.94,244.60,En la pista
250.46,251.74,Y el amor es así
252.60,254.23,Cuando lo dejamos ir
254.69,256.80,Se resiente feo con tu alma
256.99,259.14,Y ya no te deja ni dormir
259.14,261.34,Y es como una venganza
261.60,263.73,Por si el vacío no te alcanza
263.73,266.21,Y te deja de recuerdo en la guitarra
266.53,268.93,Una bonita canción que dice así
269.63,271.01,Y el amor es así
271.80,273.32,Cuando lo dejamos ir
278.95,280.54,Y es como una venganza
280.81,282.94,Por si el vacío no te alcanza
282.94,285.42,Y te deja de recuerdo en la guitarra
285.76,288.01,Una recontra puta canción
288.82,290.21,Y el amor es así
291.01,292.50,Cuando lo dejamos ir
293.08,295.16,Se resiente feo con tu alma
295.49,297.52,Y ya no te deja ni dormir
297.52,299.76,(Y es) y es como una venganza
300.02,302.38,Por si el vacío no te alcanza
308.06,309.43,Y el amor es así
310.19,311.70,Cuando lo dejamos ir
317.30,319.01,Y es como una venganza
319.37,321.59,Por si el vacío no te alcanza
327.23,328.69,Y el amor es así
329.39,330.91,Cuando lo dejamos ir
