start,end,text
6.39,10.83,"Gerade denk' ich mir, wie schön das Leben ist"
11.98,15.84,"Alles läuft gut, wie gut das tut"
17.63,21.85,"Die Liebe, das Geld stimmt, alles schick"
23.17,27.70,Ich fühle mich wie Hans im Glück
32.87,36.32,Das ist die Zeit für Veränderung
36.32,39.46,Mein Chef sagt Zeit für Veränderung
40.19,42.02,Wir leben die Veränderung
42.28,45.21,Veränderung hält jung
48.68,53.11,"Ich pack' die Sachen ein, denn morgen gehts schon los"
54.33,57.94,Es tut mir leid um unsere Zeit
60.02,64.27,Denkt mal an mich und wünscht mir Glück
65.60,69.28,Vielleicht komm ich ja bald zurück
75.27,78.70,Dann ist die Zeit für Veränderung
78.72,81.92,Mein Chef sagt Zeit für Veränderung
82.65,84.45,Wir leben die Veränderung
84.69,87.53,Veränderung hält jung
91.06,95.42,"Gerade denk ich mir, wie schön das Leben ist"
96.65,100.43,"Alles läuft gut, wie gut das tut"
102.34,106.65,Denkt mal an mich und wünscht mir Glück
107.94,111.53,Vielleicht komm ich ja bald zurück
117.68,121.02,Das ist die Zeit für Veränderung
121.02,124.26,Mein Chef sagt Zeit für Veränderung
124.91,126.88,Wir leben die Veränderung
127.04,129.95,Veränderung hält jung
136.96,139.04,"<nl> Ba-da-da-da, da-da </nl>"
145.51,147.60,"<nl> Ba-da-da-dam, da-da </nl>"
151.19,155.03,"<nl> Ba-da-da-dam, da-dam, da </nl>"
160.05,163.40,Das ist die Zeit für Veränderung
163.40,166.52,Mein Chef sagt Zeit für Veränderung
167.15,169.09,Wir leben die Veränderung
169.31,172.68,Veränderung hält jung
172.95,176.55,Es ist die Zeit für Veränderung
177.04,179.17,Schon wieder 'ne Veränderung
179.70,181.81,Und so geht das Leben rum
182.05,185.12,Man wird schnell grau und krumm
185.63,191.35,Zeit für Veränderung
