start,end,text
15.95,17.32,Live in a time of straight sin
17.32,18.91,We got black sheep that don't fit in
18.91,19.44,"I'm like, ""Huh"""
20.00,21.42,Terrorists who wanna cut limbs
21.42,23.03,Don't zoom in to my true lens
23.03,25.26,These loose ends are too grim to just comprehend
25.26,25.75,"I'm like, ""Huh"""
26.39,27.78,"Oh Lord, it's getting worse"
27.99,29.37,Cops out on that gang turf
29.60,30.96,Rich folks don't share first
30.96,32.59,"Got planned parents, don't need birth"
32.59,34.21,Got prayers out and don't see church
34.40,35.74,Hands up and they shoot first
35.74,37.40,Another young life in that black hearse
37.40,38.07,I'm too hurt
38.07,38.57,"I'm like, ""Huh"""
38.41,39.48,Y'all better come my way
39.59,41.55,"Y'all better come my way, okay, and say"
41.55,42.72,Y'all better come my way
42.84,44.79,I'ma make a statement day by day
44.79,45.84,Y'all better come my way
45.99,48.02,"Y'all better come my way, okay, and say"
48.02,49.06,Y'all better come my way
49.25,51.20,I'ma make a statement day by day
51.20,52.22,"Peace signs, peace signs up"
52.40,54.39,"Put 'em in the air, then go rise up (yeah)"
54.39,55.44,"Peace signs, peace signs up"
55.60,57.59,"Put 'em in the air, then go rise up (yeah)"
57.59,58.63,"Peace signs, peace signs up"
58.82,60.81,"Put 'em in the air, then go rise up (yeah)"
60.81,61.85,"Peace signs, peace signs up"
61.98,64.57,"Put 'em in the air, then go rise up (yeah)"
67.11,68.52,Live in a time of true greed
68.52,70.10,We got kids here who can't write and read
70.10,70.64,"I'm like, ""Huh"""
71.18,72.60,Disgust for that mistrust
72.60,74.17,Say one word and you're handcuffed
74.17,75.68,Don't call bluff and you'll get struck
75.68,76.60,And you're in court
76.60,76.98,"Like, ""Huh"""
77.61,78.85,Live life with no limits
79.21,80.47,"My way, no gimmicks"
80.79,82.11,"Pro league, no scrimmage"
82.39,83.66,Crunch time and I finish
83.66,85.27,"I'm that superstar, no blemish"
85.27,86.73,"I just own this, no tenant"
86.81,88.41,"You that background, no sentence"
88.41,89.84,"I'm the statement, good riddance"
89.73,90.66,Y'all better come my way
90.84,92.81,"Y'all better come my way, okay, and say"
92.81,93.86,Y'all better come my way
93.99,96.00,I'ma make a statement day by day
96.00,97.03,Y'all better come my way
97.23,99.21,"Y'all better come my way, okay, and say"
99.21,100.23,Y'all better come my way
100.44,102.40,I'ma make a statement day by day
102.40,103.41,"Peace signs, peace signs up"
103.61,105.58,"Put 'em in the air, then go rise up (yeah)"
105.58,106.65,"Peace signs, peace signs up"
106.84,108.77,"Put 'em in the air, then go rise up (yeah)"
108.77,109.85,"Peace signs, peace signs up"
110.01,112.00,"Put 'em in the air, then go rise up (yeah)"
112.00,113.06,"Peace signs, peace signs up"
113.18,115.72,"Put 'em in the air, then go rise up (yeah)"
118.39,119.72,"Stand up, rise up"
119.98,121.87,"Peace signs up, now wassup? (Let's go!)"
121.52,122.98,"Stand up, rise up"
123.16,125.10,"Peace signs up, now wassup? (Let's go!)"
124.73,126.16,"Stand up, rise up"
126.37,128.39,"Peace signs up, now wassup? (Let's go!)"
128.04,129.30,Live in a time of lost hope
129.30,130.91,We got no ropes for that down slope
130.91,132.43,We got many with plenty that say nope
132.52,134.13,We got refugees on broke boats
134.13,134.57,"I'm like, ""Huh"""
135.17,136.41,Real life with no TV
136.76,138.18,Millionaires stay greedy
138.32,139.68,No love and there's no grub
139.68,141.27,"We got the homeless saying, ""Feed me"""
140.91,141.84,Y'all better come my way
142.02,144.04,"Y'all better come my way, okay, and say"
144.04,145.06,Y'all better come my way
145.21,147.18,I'ma make a statement day by day
147.18,148.23,Y'all better come my way
148.43,150.43,"Y'all better come my way, okay, and say"
150.43,151.44,Y'all better come my way
151.62,153.60,I'ma make a statement day by day
153.60,154.65,"Peace signs, peace signs up"
154.82,156.78,"Put 'em in the air, then go rise up (yeah)"
156.78,157.84,"Peace signs, peace signs up"
158.00,160.00,"Put 'em in the air, then go rise up (yeah)"
160.00,161.02,"Peace signs, peace signs up"
161.19,163.19,"Put 'em in the air, then go rise up (yeah)"
163.19,164.26,"Peace signs, peace signs up"
164.42,166.70,"Put 'em in the air, then go rise up (yeah)"
