start,end,text
0.66,4.18,<nl> Uh-uh-uh-uh </nl>
4.68,6.88,<nl> Na-na-na-nai </nl>
7.45,9.58,<nl> Na-na-na-nai </nl>
10.14,16.37,"Yo digo miedo, miedo, nos engañan con el miedo, chili-bu, ay"
16.56,21.95,"Miedo, miedo, nos engañan con el miedo, te lo digo a ti"
22.06,27.12,"Miedo, miedo, nos engañan con el miedo, no"
27.60,31.39,"Miedo, miedo, nos engañan con el miedo"
33.11,35.84,Nuevo mecanismo de control
36.06,38.43,Miedo para la población
38.82,41.23,Dominación mediante el terror
41.72,44.03,Cada día vemos en televisión
44.34,48.34,"Atentados, guerras, muertes y destrucción"
49.20,53.98,Pero nadie se encarga de decir la verdad de la situación
53.98,55.01,Porque si se
55.20,60.55,"Miedo, miedo, nos engañan con el miedo, chili-bu, ay"
60.73,66.05,"Miedo, miedo, nos engañan con el miedo, te lo digo a ti"
66.20,71.38,"Miedo, miedo, nos engañan con el miedo, no"
71.74,75.56,"Miedo, miedo, nos engañan con el miedo"
76.57,81.39,Mr. Money está detrás del miedo
82.29,87.20,Imponiendo su ley all over the world
87.78,90.34,"Todo se compra, todo se vende"
90.58,93.28,"Almas, cuerpos, vidas inocentes"
93.28,95.84,"Todo se compra, todo se vende"
96.06,99.04,"Almas, cuerpos, vidas inocentes"
99.31,104.61,"Miedo, miedo, nos engañan con el miedo, chili-bu, ay"
104.83,110.34,"Miedo, miedo, nos engañan con el miedo, te lo digo a ti"
110.34,115.37,"Miedo, miedo, nos engañan con el miedo, no"
115.88,119.73,"Miedo, miedo, nos engañan con el miedo"
121.21,123.80,Mercado de preocupación
123.97,126.89,Consumo excesivo como evasión
127.42,131.40,"Trabajo, trabajo, ocupa el tiempo"
131.60,136.94,"A cambio de dinero, tu esfuerzo y sudor, no, no"
137.12,142.06,"A cambio de dinero tu esfuerzo y sudor, no"
142.25,143.45,Porque si se
143.45,148.85,"Miedo, miedo, nos engañan con el miedo, chili-bu, ay"
148.98,154.35,"Miedo, miedo, nos engañan con el miedo, te lo digo a ti"
154.50,159.51,"Miedo, miedo, nos engañan con el miedo, no"
160.03,165.84,"Miedo, miedo, nos engañan con el miedo, no, no, no"
