start,end,text
16.24,18.24,Même si mon réveil ne sonne pas
18.24,20.12,"Et qu'on m'attend, c'est important"
20.12,22.00,Même si y a plus d'filtres à café
22.18,23.98,Et qu'il m'faut ça pour démarrer
23.98,25.99,"Même si, putain, j'trouve plus les clés"
26.26,27.87,De ma bagnole qui est plus garée
27.87,29.78,Là où elle s'endort tous les soirs
29.95,31.72,"On m'la chourrée, c'est un cauchemar"
31.72,34.93,"De bonne humeur, même de bonne heure"
35.55,38.94,Je prends les choses avec douceur
39.45,42.82,"De bonne humeur, même de bonne heure"
43.33,46.57,Il en faut plus pour m'donner des sueurs
47.21,49.15,Même si j'traîne les pieds dans la rue
49.15,51.09,Et qu'mon briquet a disparu
51.09,53.01,Même si les rumeurs sur mon compte
53.01,54.95,S'amplifient à chaque seconde
55.13,56.89,Même si on m'attend au bureau
57.07,58.83,J'suis quand même vert pour ma Clio
58.83,60.79,Et quand bien même j'ai de l'herpès
61.01,62.71,Je n'oublie pas qu'il faut qu'je reste
62.71,66.11,"De bonne humeur, même de bonne heure"
66.56,70.08,Je prends les choses avec douceur
70.45,74.00,"De bonne humeur, même de bonne heure"
74.30,77.77,Il en faut plus pour m'donner des sueurs
93.64,95.59,Même si j'ai pas les numéros
95.59,97.55,Gagnants au tirage du loto
97.55,99.46,Même si je me suis fait virer
99.66,101.41,Car mon réveil n'a pas sonné
101.41,103.36,Même si ma copine s'est tapée
103.55,105.17,Le fils du voisin de palier
105.17,107.25,Même si je ressens un petit stress
107.45,109.15,Je n'oublie pas qu'il faut qu'je reste
109.15,112.36,"De bonne humeur, même de bonne heure"
113.02,116.31,Je prends les choses avec douceur
116.88,120.28,"De bonne humeur, ouais, même de bonne heure"
120.74,124.31,Il en faut plus pour m'donner des sueurs
124.62,128.10,"De bonne humeur, même de bonne heure"
128.50,131.85,Je prends les choses avec douceur
132.35,135.74,"De bonne humeur, ouais, même de bonne heure"
136.22,139.75,Il en faut plus pour m'donner des sueurs
