start,end,text
15.42,17.70,Ich träum' den ganzen Tag von dir
18.91,25.61,"Oh bitte, glaube mir, ich weiß nicht, warum?"
29.64,31.32,Du bist so weit weg
31.46,34.06,Ich fühle mich wie 'n Stück Dreck
35.41,39.40,"Ich weiß nicht, warum?"
43.17,47.71,In meinem Kopf dreht sich alles nur um dich
48.59,53.71,"Verdammt nochmal, lass mich nicht im Stich"
54.89,59.84,"Ich liebe, ich lieb' nur dich"
64.54,66.83,Ich lieb' nur dich
73.62,78.31,Du schaust mir tief in die Augen und lächelst mich an
80.40,84.99,"Ich kapiere jetzt erst, ich bin nicht der Mann"
87.68,91.91,"Liebe zu zeigen, oh, fällt mir so schwer"
92.28,98.11,Bei mir war es eh ziemlich lang her
98.82,104.37,"Es tut so weh, dich gehen zu sehen"
105.47,114.38,"Es tut so weh, es tut so weh, dich gehen zu sehen"
127.93,131.48,"Ich hab mich versteckt, um dich zu seh'n"
134.93,138.39,"Ich hab mich versteckt, um dich zu verstehn"
141.99,146.57,"Doch du liefst immer von mir weg, ich hab das nie verstanden"
146.57,151.83,"Es tut so weh, dich gehen zu seh'n"
153.11,158.59,"Es tut so weh, dich gehen zu seh'n"
159.55,168.27,"Es tut so weh, es tut so weh, dich gehen zu seh'n"
182.12,184.26,Ich träum' den ganzen Tag von dir
185.64,189.22,"Und hoffe, du kommst zu mir"
